         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.58838e+01   0.00000e+00  -2.91336e+01   1.58918e+01   1.00000e+02
             1   7.61003e+01   1.00000e+00  -2.83123e+01   1.58903e+01   1.00083e+02
             2   7.63206e+01   2.00000e+00  -2.74185e+01   1.58889e+01   1.00167e+02
             3   7.65356e+01   3.00000e+00  -2.65681e+01   1.58874e+01   1.00250e+02
             4   7.67901e+01   4.00000e+00  -2.57726e+01   1.58856e+01   1.00333e+02
             5   7.70547e+01   5.00000e+00  -2.50106e+01   1.58842e+01   1.00417e+02
             6   7.73378e+01   6.00000e+00  -2.43483e+01   1.58830e+01   1.00500e+02
             7   7.76124e+01   7.00000e+00  -2.37111e+01   1.58818e+01   1.00583e+02
             8   7.78934e+01   8.00000e+00  -2.31740e+01   1.58812e+01   1.00667e+02
             9   7.81668e+01   9.00000e+00  -2.26590e+01   1.58805e+01   1.00750e+02
            10   7.84491e+01   1.00000e+01  -2.21878e+01   1.58798e+01   1.00833e+02
            11   7.87277e+01   1.10000e+01  -2.17243e+01   1.58792e+01   1.00917e+02
            12   7.90155e+01   1.20000e+01  -2.13231e+01   1.58790e+01   1.01000e+02
            13   7.92963e+01   1.30000e+01  -2.09280e+01   1.58787e+01   1.01083e+02
            14   7.95597e+01   1.40000e+01  -2.05547e+01   1.58784e+01   1.01167e+02
            15   7.98456e+01   1.50000e+01  -2.01790e+01   1.58781e+01   1.01250e+02
            16   8.01343e+01   1.60000e+01  -1.98684e+01   1.58779e+01   1.01333e+02
            17   8.04010e+01   1.70000e+01  -1.95365e+01   1.58775e+01   1.01417e+02
            18   8.06824e+01   1.80000e+01  -1.92086e+01   1.58770e+01   1.01500e+02
            19   8.09677e+01   1.90000e+01  -1.88859e+01   1.58766e+01   1.01583e+02
            20   8.12341e+01   2.00000e+01  -1.86172e+01   1.58759e+01   1.01667e+02
            21   8.15015e+01   2.10000e+01  -1.83298e+01   1.58754e+01   1.01750e+02
            22   8.17716e+01   2.20000e+01  -1.80386e+01   1.58748e+01   1.01833e+02
            23   8.20340e+01   2.30000e+01  -1.77403e+01   1.58743e+01   1.01917e+02
            24   8.23054e+01   2.40000e+01  -1.75172e+01   1.58737e+01   1.02000e+02
            25   8.25655e+01   2.50000e+01  -1.72609e+01   1.58731e+01   1.02083e+02
            26   8.28339e+01   2.60000e+01  -1.69974e+01   1.58724e+01   1.02167e+02
            27   8.30919e+01   2.70000e+01  -1.67433e+01   1.58718e+01   1.02250e+02
            28   8.33325e+01   2.80000e+01  -1.65323e+01   1.58711e+01   1.02333e+02
            29   8.35890e+01   2.90000e+01  -1.62977e+01   1.58705e+01   1.02417e+02
            30   8.38397e+01   3.00000e+01  -1.60724e+01   1.58698e+01   1.02500e+02
            31   8.40948e+01   3.10000e+01  -1.58510e+01   1.58692e+01   1.02583e+02
            32   8.43528e+01   3.20000e+01  -1.56785e+01   1.58686e+01   1.02667e+02
            33   8.45927e+01   3.30000e+01  -1.54792e+01   1.58680e+01   1.02750e+02
            34   8.48401e+01   3.40000e+01  -1.52775e+01   1.58674e+01   1.02833e+02
            35   8.50796e+01   3.50000e+01  -1.50780e+01   1.58668e+01   1.02917e+02
            36   8.53154e+01   3.60000e+01  -1.49139e+01   1.58662e+01   1.03000e+02
            37   8.55414e+01   3.70000e+01  -1.47353e+01   1.58657e+01   1.03083e+02
            38   8.57976e+01   3.80000e+01  -1.45515e+01   1.58653e+01   1.03167e+02
            39   8.60246e+01   3.90000e+01  -1.43623e+01   1.58649e+01   1.03250e+02
            40   8.62513e+01   4.00000e+01  -1.42094e+01   1.58646e+01   1.03333e+02
            41   8.64795e+01   4.10000e+01  -1.40436e+01   1.58643e+01   1.03417e+02
            42   8.67022e+01   4.20000e+01  -1.38702e+01   1.58640e+01   1.03500e+02
            43   8.69349e+01   4.30000e+01  -1.36969e+01   1.58638e+01   1.03583e+02
            44   8.71570e+01   4.40000e+01  -1.35811e+01   1.58636e+01   1.03667e+02
            45   8.73560e+01   4.50000e+01  -1.34350e+01   1.58635e+01   1.03750e+02
            46   8.75926e+01   4.60000e+01  -1.32937e+01   1.58633e+01   1.03833e+02
            47   8.78045e+01   4.70000e+01  -1.31555e+01   1.58632e+01   1.03917e+02
