         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.10881e+01   0.00000e+00  -1.25977e+01   3.04682e+01   1.00000e+02
             1   7.13134e+01   1.00000e+00  -1.23851e+01   3.04683e+01   1.00083e+02
             2   7.15367e+01   2.00000e+00  -1.22044e+01   3.04685e+01   1.00167e+02
             3   7.17935e+01   3.00000e+00  -1.20239e+01   3.04687e+01   1.00250e+02
             4   7.20542e+01   4.00000e+00  -1.19299e+01   3.04691e+01   1.00333e+02
             5   7.23445e+01   5.00000e+00  -1.18302e+01   3.04695e+01   1.00417e+02
             6   7.26253e+01   6.00000e+00  -1.17843e+01   3.04701e+01   1.00500e+02
             7   7.29220e+01   7.00000e+00  -1.17467e+01   3.04707e+01   1.00583e+02
             8   7.32242e+01   8.00000e+00  -1.17842e+01   3.04718e+01   1.00667e+02
             9   7.35043e+01   9.00000e+00  -1.18028e+01   3.04728e+01   1.00750e+02
            10   7.38167e+01   1.00000e+01  -1.18392e+01   3.04739e+01   1.00833e+02
            11   7.41193e+01   1.10000e+01  -1.18825e+01   3.04750e+01   1.00917e+02
            12   7.44186e+01   1.20000e+01  -1.19425e+01   3.04763e+01   1.01000e+02
            13   7.47139e+01   1.30000e+01  -1.19894e+01   3.04775e+01   1.01083e+02
            14   7.50223e+01   1.40000e+01  -1.20303e+01   3.04786e+01   1.01167e+02
            15   7.53248e+01   1.50000e+01  -1.20643e+01   3.04797e+01   1.01250e+02
            16   7.56262e+01   1.60000e+01  -1.21086e+01   3.04805e+01   1.01333e+02
            17   7.59275e+01   1.70000e+01  -1.21460e+01   3.04813e+01   1.01417e+02
            18   7.62139e+01   1.80000e+01  -1.21811e+01   3.04820e+01   1.01500e+02
            19   7.65124e+01   1.90000e+01  -1.22158e+01   3.04826e+01   1.01583e+02
            20   7.68140e+01   2.00000e+01  -1.22421e+01   3.04829e+01   1.01667e+02
            21   7.71108e+01   2.10000e+01  -1.22696e+01   3.04832e+01   1.01750e+02
            22   7.74051e+01   2.20000e+01  -1.22962e+01   3.04835e+01   1.01833e+02
            23   7.76814e+01   2.30000e+01  -1.23219e+01   3.04837e+01   1.01917e+02
            24   7.79705e+01   2.40000e+01  -1.23301e+01   3.04836e+01   1.02000e+02
            25   7.82531e+01   2.50000e+01  -1.23462e+01   3.04836e+01   1.02083e+02
            26   7.85422e+01   2.60000e+01  -1.23603e+01   3.04836e+01   1.02167e+02
            27   7.88388e+01   2.70000e+01  -1.23719e+01   3.04835e+01   1.02250e+02
            28   7.90971e+01   2.80000e+01  -1.23681e+01   3.04833e+01   1.02333e+02
            29   7.93823e+01   2.90000e+01  -1.23711e+01   3.04832e+01   1.02417e+02
            30   7.96579e+01   3.00000e+01  -1.23738e+01   3.04830e+01   1.02500e+02
            31   7.99271e+01   3.10000e+01  -1.23756e+01   3.04828e+01   1.02583e+02
            32   8.01919e+01   3.20000e+01  -1.23593e+01   3.04827e+01   1.02667e+02
            33   8.04581e+01   3.30000e+01  -1.23506e+01   3.04826e+01   1.02750e+02
            34   8.07272e+01   3.40000e+01  -1.23430e+01   3.04824e+01   1.02833e+02
            35   8.09881e+01   3.50000e+01  -1.23342e+01   3.04822e+01   1.02917e+02
            36   8.12469e+01   3.60000e+01  -1.23094e+01   3.04820e+01   1.03000e+02
            37   8.15128e+01   3.70000e+01  -1.22924e+01   3.04818e+01   1.03083e+02
            38   8.17651e+01   3.80000e+01  -1.22752e+01   3.04816e+01   1.03167e+02
            39   8.20074e+01   3.90000e+01  -1.22562e+01   3.04815e+01   1.03250e+02
            40   8.22624e+01   4.00000e+01  -1.22294e+01   3.04813e+01   1.03333e+02
            41   8.25297e+01   4.10000e+01  -1.22071e+01   3.04812e+01   1.03417e+02
            42   8.27693e+01   4.20000e+01  -1.21847e+01   3.04810e+01   1.03500e+02
            43   8.30221e+01   4.30000e+01  -1.21616e+01   3.04808e+01   1.03583e+02
            44   8.32670e+01   4.40000e+01  -1.21307e+01   3.04807e+01   1.03667e+02
            45   8.35171e+01   4.50000e+01  -1.21045e+01   3.04806e+01   1.03750e+02
            46   8.37580e+01   4.60000e+01  -1.20791e+01   3.04804e+01   1.03833e+02
            47   8.39912e+01   4.70000e+01  -1.20522e+01   3.04803e+01   1.03917e+02
            48   8.42350e+01   4.80000e+01  -1.20208e+01   3.04802e+01   1.04000e+02
            49   8.44683e+01   4.90000e+01  -1.19936e+01   3.04801e+01   1.04083e+02
            50   8.46932e+01   5.00000e+01  -1.19671e+01   3.04801e+01   1.04167e+02
            51   8.49398e+01   5.10000e+01  -1.19397e+01   3.04800e+01   1.04250e+02
