         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.37095e+01   0.00000e+00  -3.07958e+01   3.42770e+01   1.00000e+02
             1   8.38721e+01   1.00000e+00  -2.97435e+01   3.42771e+01   1.00083e+02
             2   8.40332e+01   2.00000e+00  -2.85640e+01   3.42773e+01   1.00167e+02
             3   8.42062e+01   3.00000e+00  -2.74017e+01   3.42774e+01   1.00250e+02
             4   8.44146e+01   4.00000e+00  -2.63745e+01   3.42779e+01   1.00333e+02
             5   8.46270e+01   5.00000e+00  -2.54002e+01   3.42783e+01   1.00417e+02
             6   8.48295e+01   6.00000e+00  -2.45075e+01   3.42789e+01   1.00500e+02
             7   8.50498e+01   7.00000e+00  -2.36654e+01   3.42795e+01   1.00583e+02
             8   8.52555e+01   8.00000e+00  -2.29909e+01   3.42806e+01   1.00667e+02
             9   8.54855e+01   9.00000e+00  -2.23270e+01   3.42816e+01   1.00750e+02
            10   8.57030e+01   1.00000e+01  -2.17169e+01   3.42826e+01   1.00833e+02
            11   8.59285e+01   1.10000e+01  -2.11513e+01   3.42837e+01   1.00917e+02
            12   8.61506e+01   1.20000e+01  -2.06413e+01   3.42851e+01   1.01000e+02
            13   8.63683e+01   1.30000e+01  -2.01345e+01   3.42863e+01   1.01083e+02
            14   8.65913e+01   1.40000e+01  -1.96510e+01   3.42874e+01   1.01167e+02
            15   8.68092e+01   1.50000e+01  -1.91897e+01   3.42884e+01   1.01250e+02
            16   8.70333e+01   1.60000e+01  -1.87977e+01   3.42892e+01   1.01333e+02
            17   8.72465e+01   1.70000e+01  -1.84014e+01   3.42900e+01   1.01417e+02
            18   8.74641e+01   1.80000e+01  -1.80310e+01   3.42906e+01   1.01500e+02
            19   8.76788e+01   1.90000e+01  -1.76897e+01   3.42912e+01   1.01583e+02
            20   8.78827e+01   2.00000e+01  -1.73886e+01   3.42913e+01   1.01667e+02
            21   8.80934e+01   2.10000e+01  -1.70687e+01   3.42915e+01   1.01750e+02
            22   8.83110e+01   2.20000e+01  -1.67492e+01   3.42917e+01   1.01833e+02
            23   8.85166e+01   2.30000e+01  -1.64257e+01   3.42919e+01   1.01917e+02
            24   8.87289e+01   2.40000e+01  -1.61725e+01   3.42919e+01   1.02000e+02
            25   8.89377e+01   2.50000e+01  -1.58922e+01   3.42919e+01   1.02083e+02
            26   8.91448e+01   2.60000e+01  -1.56313e+01   3.42919e+01   1.02167e+02
            27   8.93475e+01   2.70000e+01  -1.53917e+01   3.42920e+01   1.02250e+02
            28   8.95401e+01   2.80000e+01  -1.51793e+01   3.42919e+01   1.02333e+02
            29   8.97332e+01   2.90000e+01  -1.49595e+01   3.42919e+01   1.02417e+02
            30   8.99370e+01   3.00000e+01  -1.47424e+01   3.42918e+01   1.02500e+02
            31   9.01423e+01   3.10000e+01  -1.45311e+01   3.42917e+01   1.02583e+02
            32   9.03239e+01   3.20000e+01  -1.43798e+01   3.42915e+01   1.02667e+02
            33   9.05138e+01   3.30000e+01  -1.42029e+01   3.42914e+01   1.02750e+02
            34   9.07061e+01   3.40000e+01  -1.40115e+01   3.42913e+01   1.02833e+02
            35   9.08913e+01   3.50000e+01  -1.38306e+01   3.42912e+01   1.02917e+02
            36   9.10710e+01   3.60000e+01  -1.36754e+01   3.42911e+01   1.03000e+02
            37   9.12552e+01   3.70000e+01  -1.35107e+01   3.42911e+01   1.03083e+02
            38   9.14382e+01   3.80000e+01  -1.33444e+01   3.42911e+01   1.03167e+02
            39   9.16305e+01   3.90000e+01  -1.31857e+01   3.42910e+01   1.03250e+02
            40   9.18064e+01   4.00000e+01  -1.30773e+01   3.42910e+01   1.03333e+02
            41   9.19801e+01   4.10000e+01  -1.29366e+01   3.42910e+01   1.03417e+02
            42   9.21509e+01   4.20000e+01  -1.28015e+01   3.42910e+01   1.03500e+02
            43   9.23224e+01   4.30000e+01  -1.26708e+01   3.42909e+01   1.03583e+02
            44   9.24934e+01   4.40000e+01  -1.25753e+01   3.42908e+01   1.03667e+02
            45   9.26711e+01   4.50000e+01  -1.24638e+01   3.42907e+01   1.03750e+02
            46   9.28482e+01   4.60000e+01  -1.23490e+01   3.42905e+01   1.03833e+02
            47   9.30260e+01   4.70000e+01  -1.22296e+01   3.42904e+01   1.03917e+02
