         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42038e+01   0.00000e+00  -3.01015e+01   3.85143e+01   1.00000e+02
             1   8.43555e+01   1.00000e+00  -2.91055e+01   3.85144e+01   1.00083e+02
             2   8.45157e+01   2.00000e+00  -2.79747e+01   3.85146e+01   1.00167e+02
             3   8.46903e+01   3.00000e+00  -2.68024e+01   3.85148e+01   1.00250e+02
             4   8.48999e+01   4.00000e+00  -2.57857e+01   3.85151e+01   1.00333e+02
             5   8.50875e+01   5.00000e+00  -2.48416e+01   3.85156e+01   1.00417e+02
             6   8.53143e+01   6.00000e+00  -2.39982e+01   3.85161e+01   1.00500e+02
             7   8.55224e+01   7.00000e+00  -2.32352e+01   3.85168e+01   1.00583e+02
             8   8.57350e+01   8.00000e+00  -2.25579e+01   3.85178e+01   1.00667e+02
             9   8.59338e+01   9.00000e+00  -2.19025e+01   3.85188e+01   1.00750e+02
            10   8.61481e+01   1.00000e+01  -2.12940e+01   3.85199e+01   1.00833e+02
            11   8.63623e+01   1.10000e+01  -2.07240e+01   3.85210e+01   1.00917e+02
            12   8.65963e+01   1.20000e+01  -2.02454e+01   3.85223e+01   1.01000e+02
            13   8.67992e+01   1.30000e+01  -1.97798e+01   3.85235e+01   1.01083e+02
            14   8.70223e+01   1.40000e+01  -1.93257e+01   3.85246e+01   1.01167e+02
            15   8.72361e+01   1.50000e+01  -1.88898e+01   3.85257e+01   1.01250e+02
            16   8.74534e+01   1.60000e+01  -1.85326e+01   3.85265e+01   1.01333e+02
            17   8.76605e+01   1.70000e+01  -1.81538e+01   3.85273e+01   1.01417e+02
            18   8.78773e+01   1.80000e+01  -1.77865e+01   3.85280e+01   1.01500e+02
            19   8.80803e+01   1.90000e+01  -1.74340e+01   3.85286e+01   1.01583e+02
            20   8.82928e+01   2.00000e+01  -1.71341e+01   3.85289e+01   1.01667e+02
            21   8.85102e+01   2.10000e+01  -1.68312e+01   3.85292e+01   1.01750e+02
            22   8.87082e+01   2.20000e+01  -1.65267e+01   3.85295e+01   1.01833e+02
            23   8.89043e+01   2.30000e+01  -1.62290e+01   3.85297e+01   1.01917e+02
            24   8.91262e+01   2.40000e+01  -1.59732e+01   3.85296e+01   1.02000e+02
            25   8.93287e+01   2.50000e+01  -1.57037e+01   3.85296e+01   1.02083e+02
            26   8.95196e+01   2.60000e+01  -1.54337e+01   3.85296e+01   1.02167e+02
            27   8.97309e+01   2.70000e+01  -1.51812e+01   3.85295e+01   1.02250e+02
            28   8.99248e+01   2.80000e+01  -1.49934e+01   3.85292e+01   1.02333e+02
            29   9.01265e+01   2.90000e+01  -1.47828e+01   3.85290e+01   1.02417e+02
            30   9.03097e+01   3.00000e+01  -1.45786e+01   3.85288e+01   1.02500e+02
            31   9.05011e+01   3.10000e+01  -1.43905e+01   3.85286e+01   1.02583e+02
            32   9.06812e+01   3.20000e+01  -1.42293e+01   3.85284e+01   1.02667e+02
            33   9.08763e+01   3.30000e+01  -1.40539e+01   3.85283e+01   1.02750e+02
            34   9.10488e+01   3.40000e+01  -1.38836e+01   3.85282e+01   1.02833e+02
            35   9.12396e+01   3.50000e+01  -1.37008e+01   3.85281e+01   1.02917e+02
            36   9.14328e+01   3.60000e+01  -1.35605e+01   3.85281e+01   1.03000e+02
            37   9.16121e+01   3.70000e+01  -1.34008e+01   3.85281e+01   1.03083e+02
            38   9.17856e+01   3.80000e+01  -1.32466e+01   3.85280e+01   1.03167e+02
            39   9.19629e+01   3.90000e+01  -1.30864e+01   3.85280e+01   1.03250e+02
            40   9.21486e+01   4.00000e+01  -1.29740e+01   3.85280e+01   1.03333e+02
            41   9.23097e+01   4.10000e+01  -1.28401e+01   3.85280e+01   1.03417e+02
            42   9.24907e+01   4.20000e+01  -1.27028e+01   3.85279e+01   1.03500e+02
            43   9.26584e+01   4.30000e+01  -1.25745e+01   3.85278e+01   1.03583e+02
            44   9.28291e+01   4.40000e+01  -1.24977e+01   3.85276e+01   1.03667e+02
            45   9.29905e+01   4.50000e+01  -1.23934e+01   3.85275e+01   1.03750e+02
            46   9.31864e+01   4.60000e+01  -1.22866e+01   3.85274e+01   1.03833e+02
            47   9.33352e+01   4.70000e+01  -1.21818e+01   3.85273e+01   1.03917e+02
            48   9.35061e+01   4.80000e+01  -1.21037e+01   3.85271e+01   1.04000e+02
            49   9.36598e+01   4.90000e+01  -1.20125e+01   3.85269e+01   1.04083e+02
            50   9.38207e+01   5.00000e+01  -1.19220e+01   3.85268e+01   1.04167e+02
            51   9.40020e+01   5.10000e+01  -1.18331e+01   3.85266e+01   1.04250e+02
            52   9.41429e+01   5.20000e+01  -1.17625e+01   3.85264e+01   1.04333e+02
            53   9.43038e+01   5.30000e+01  -1.16843e+01   3.85263e+01   1.04417e+02
            54   9.44652e+01   5.40000e+01  -1.16052e+01   3.85262e+01   1.04500e+02
            55   9.46216e+01   5.50000e+01  -1.15281e+01   3.85261e+01   1.04583e+02
            56   9.47837e+01   5.60000e+01  -1.14692e+01   3.85261e+01   1.04667e+02
            57   9.49411e+01   5.70000e+01  -1.14033e+01   3.85261e+01   1.04750e+02
            58   9.50836e+01   5.80000e+01  -1.13385e+01   3.85260e+01   1.04833e+02
            59   9.52409e+01   5.90000e+01  -1.12754e+01   3.85259e+01   1.04917e+02
            60   9.53995e+01   6.00000e+01  -1.12272e+01   3.85258e+01   1.05000e+02
            61   9.55438e+01   6.10000e+01  -1.11731e+01   3.85257e+01   1.05083e+02
            62   9.57116e+01   6.20000e+01  -1.11188e+01   3.85255e+01   1.05167e+02
            63   9.58483e+01   6.30000e+01  -1.10663e+01   3.85254e+01   1.05250e+02
            64   9.59863e+01   6.40000e+01  -1.10310e+01   3.85253e+01   1.05333e+02
            65   9.61471e+01   6.50000e+01  -1.09878e+01   3.85252e+01   1.05417e+02
            66   9.62837e+01   6.60000e+01  -1.09447e+01   3.85251e+01   1.05500e+02
            67   9.64306e+01   6.70000e+01  -1.09030e+01   3.85250e+01   1.05583e+02
            68   9.65838e+01   6.80000e+01  -1.08746e+01   3.85251e+01   1.05667e+02
            69   9.67227e+01   6.90000e+01  -1.08398e+01   3.85250e+01   1.05750e+02
            70   9.68728e+01   7.00000e+01  -1.08038e+01   3.85250e+01   1.05833e+02
            71   9.70046e+01   7.10000e+01  -1.07680e+01   3.85250e+01   1.05917e+02
            72   9.71472e+01   7.20000e+01  -1.07465e+01   3.85250e+01   1.06000e+02
            73   9.72753e+01   7.30000e+01  -1.07194e+01   3.85250e+01   1.06083e+02
            74   9.74356e+01   7.40000e+01  -1.06912e+01   3.85250e+01   1.06167e+02
            75   9.75743e+01   7.50000e+01  -1.06630e+01   3.85250e+01   1.06250e+02
            76   9.77110e+01   7.60000e+01  -1.06438e+01   3.85250e+01   1.06333e+02
            77   9.78423e+01   7.70000e+01  -1.06223e+01   3.85250e+01   1.06417e+02
            78   9.80009e+01   7.80000e+01  -1.06006e+01   3.85250e+01   1.06500e+02
            79   9.81207e+01   7.90000e+01  -1.05793e+01   3.85250e+01   1.06583e+02
            80   9.82629e+01   8.00000e+01  -1.05646e+01   3.85250e+01   1.06667e+02
            81   9.83971e+01   8.10000e+01  -1.05476e+01   3.85250e+01   1.06750e+02
            82   9.85358e+01   8.20000e+01  -1.05311e+01   3.85250e+01   1.06833e+02
            83   9.86702e+01   8.30000e+01  -1.05148e+01   3.85250e+01   1.06917e+02
            84   9.88215e+01   8.40000e+01  -1.05056e+01   3.85250e+01   1.07000e+02
            85   9.89429e+01   8.50000e+01  -1.04948e+01   3.85249e+01   1.07083e+02
            86   9.90722e+01   8.60000e+01  -1.04830e+01   3.85248e+01   1.07167e+02
            87   9.92016e+01   8.70000e+01  -1.04712e+01   3.85247e+01   1.07250e+02
            88   9.93386e+01   8.80000e+01  -1.04658e+01   3.85245e+01   1.07333e+02
            89   9.94743e+01   8.90000e+01  -1.04577e+01   3.85244e+01   1.07417e+02
            90   9.96137e+01   9.00000e+01  -1.04491e+01   3.85243e+01   1.07500e+02
            91   9.97471e+01   9.10000e+01  -1.04413e+01   3.85242e+01   1.07583e+02
            92   9.98687e+01   9.20000e+01  -1.04357e+01   3.85241e+01   1.07667e+02
            93   1.00006e+02   9.30000e+01  -1.04291e+01   3.85241e+01   1.07750e+02
            94   1.00146e+02   9.40000e+01  -1.04226e+01   3.85241e+01   1.07833e+02
