         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42180e+01   0.00000e+00  -2.71713e+01   2.92473e+01   1.00000e+02
             1   8.43717e+01   1.00000e+00  -2.62358e+01   2.92475e+01   1.00083e+02
             2   8.45348e+01   2.00000e+00  -2.51842e+01   2.92478e+01   1.00167e+02
             3   8.47212e+01   3.00000e+00  -2.40951e+01   2.92481e+01   1.00250e+02
             4   8.49171e+01   4.00000e+00  -2.31663e+01   2.92486e+01   1.00333e+02
             5   8.51241e+01   5.00000e+00  -2.23177e+01   2.92492e+01   1.00417e+02
             6   8.53059e+01   6.00000e+00  -2.15745e+01   2.92498e+01   1.00500e+02
             7   8.55267e+01   7.00000e+00  -2.08635e+01   2.92506e+01   1.00583e+02
             8   8.57330e+01   8.00000e+00  -2.02620e+01   2.92517e+01   1.00667e+02
             9   8.59463e+01   9.00000e+00  -1.96756e+01   2.92527e+01   1.00750e+02
            10   8.61653e+01   1.00000e+01  -1.91390e+01   2.92538e+01   1.00833e+02
            11   8.63849e+01   1.10000e+01  -1.86472e+01   2.92550e+01   1.00917e+02
            12   8.65961e+01   1.20000e+01  -1.82011e+01   2.92563e+01   1.01000e+02
            13   8.68124e+01   1.30000e+01  -1.77500e+01   2.92575e+01   1.01083e+02
            14   8.70293e+01   1.40000e+01  -1.73475e+01   2.92586e+01   1.01167e+02
            15   8.72391e+01   1.50000e+01  -1.69764e+01   2.92597e+01   1.01250e+02
            16   8.74563e+01   1.60000e+01  -1.66584e+01   2.92605e+01   1.01333e+02
            17   8.76678e+01   1.70000e+01  -1.63193e+01   2.92614e+01   1.01417e+02
            18   8.78806e+01   1.80000e+01  -1.59880e+01   2.92621e+01   1.01500e+02
            19   8.80883e+01   1.90000e+01  -1.56541e+01   2.92627e+01   1.01583e+02
            20   8.83137e+01   2.00000e+01  -1.53817e+01   2.92630e+01   1.01667e+02
            21   8.85214e+01   2.10000e+01  -1.51146e+01   2.92633e+01   1.01750e+02
            22   8.87313e+01   2.20000e+01  -1.48730e+01   2.92636e+01   1.01833e+02
            23   8.89273e+01   2.30000e+01  -1.46408e+01   2.92639e+01   1.01917e+02
            24   8.91368e+01   2.40000e+01  -1.44388e+01   2.92638e+01   1.02000e+02
            25   8.93416e+01   2.50000e+01  -1.42200e+01   2.92639e+01   1.02083e+02
            26   8.95330e+01   2.60000e+01  -1.40048e+01   2.92639e+01   1.02167e+02
            27   8.97395e+01   2.70000e+01  -1.37941e+01   2.92639e+01   1.02250e+02
            28   8.99337e+01   2.80000e+01  -1.36248e+01   2.92637e+01   1.02333e+02
            29   9.01137e+01   2.90000e+01  -1.34368e+01   2.92636e+01   1.02417e+02
            30   9.03173e+01   3.00000e+01  -1.32391e+01   2.92635e+01   1.02500e+02
            31   9.05005e+01   3.10000e+01  -1.30411e+01   2.92634e+01   1.02583e+02
            32   9.06984e+01   3.20000e+01  -1.29190e+01   2.92633e+01   1.02667e+02
            33   9.08947e+01   3.30000e+01  -1.27634e+01   2.92632e+01   1.02750e+02
            34   9.10777e+01   3.40000e+01  -1.26001e+01   2.92631e+01   1.02833e+02
            35   9.12516e+01   3.50000e+01  -1.24456e+01   2.92630e+01   1.02917e+02
            36   9.14347e+01   3.60000e+01  -1.23450e+01   2.92631e+01   1.03000e+02
            37   9.16233e+01   3.70000e+01  -1.22139e+01   2.92630e+01   1.03083e+02
            38   9.17949e+01   3.80000e+01  -1.20761e+01   2.92630e+01   1.03167e+02
            39   9.19709e+01   3.90000e+01  -1.19491e+01   2.92630e+01   1.03250e+02
            40   9.21539e+01   4.00000e+01  -1.18629e+01   2.92630e+01   1.03333e+02
            41   9.23379e+01   4.10000e+01  -1.17528e+01   2.92630e+01   1.03417e+02
            42   9.25009e+01   4.20000e+01  -1.16476e+01   2.92630e+01   1.03500e+02
            43   9.26823e+01   4.30000e+01  -1.15318e+01   2.92629e+01   1.03583e+02
            44   9.28480e+01   4.40000e+01  -1.14596e+01   2.92628e+01   1.03667e+02
            45   9.30043e+01   4.50000e+01  -1.13695e+01   2.92627e+01   1.03750e+02
            46   9.31855e+01   4.60000e+01  -1.12762e+01   2.92625e+01   1.03833e+02
            47   9.33552e+01   4.70000e+01  -1.11843e+01   2.92624e+01   1.03917e+02
            48   9.35117e+01   4.80000e+01  -1.11133e+01   2.92623e+01   1.04000e+02
            49   9.36674e+01   4.90000e+01  -1.10337e+01   2.92622e+01   1.04083e+02
            50   9.38398e+01   5.00000e+01  -1.09538e+01   2.92621e+01   1.04167e+02
            51   9.39975e+01   5.10000e+01  -1.08761e+01   2.92619e+01   1.04250e+02
            52   9.41507e+01   5.20000e+01  -1.08159e+01   2.92618e+01   1.04333e+02
            53   9.43103e+01   5.30000e+01  -1.07499e+01   2.92617e+01   1.04417e+02
            54   9.44846e+01   5.40000e+01  -1.06859e+01   2.92616e+01   1.04500e+02
            55   9.46382e+01   5.50000e+01  -1.06235e+01   2.92614e+01   1.04583e+02
            56   9.47888e+01   5.60000e+01  -1.05759e+01   2.92613e+01   1.04667e+02
            57   9.49388e+01   5.70000e+01  -1.05216e+01   2.92612e+01   1.04750e+02
            58   9.51053e+01   5.80000e+01  -1.04679e+01   2.92611e+01   1.04833e+02
            59   9.52477e+01   5.90000e+01  -1.04158e+01   2.92610e+01   1.04917e+02
            60   9.54016e+01   6.00000e+01  -1.03802e+01   2.92611e+01   1.05000e+02
            61   9.55502e+01   6.10000e+01  -1.03367e+01   2.92610e+01   1.05083e+02
            62   9.57088e+01   6.20000e+01  -1.02929e+01   2.92610e+01   1.05167e+02
            63   9.58524e+01   6.30000e+01  -1.02512e+01   2.92610e+01   1.05250e+02
            64   9.60103e+01   6.40000e+01  -1.02264e+01   2.92610e+01   1.05333e+02
            65   9.61551e+01   6.50000e+01  -1.01928e+01   2.92610e+01   1.05417e+02
            66   9.63020e+01   6.60000e+01  -1.01570e+01   2.92610e+01   1.05500e+02
            67   9.64381e+01   6.70000e+01  -1.01221e+01   2.92610e+01   1.05583e+02
            68   9.65941e+01   6.80000e+01  -1.00987e+01   2.92610e+01   1.05667e+02
            69   9.67426e+01   6.90000e+01  -1.00721e+01   2.92610e+01   1.05750e+02
            70   9.68802e+01   7.00000e+01  -1.00450e+01   2.92610e+01   1.05833e+02
            71   9.70222e+01   7.10000e+01  -1.00185e+01   2.92610e+01   1.05917e+02
            72   9.71580e+01   7.20000e+01  -1.00044e+01   2.92610e+01   1.06000e+02
            73   9.72908e+01   7.30000e+01  -9.98489e+00   2.92610e+01   1.06083e+02
            74   9.74509e+01   7.40000e+01  -9.96455e+00   2.92610e+01   1.06167e+02
            75   9.75849e+01   7.50000e+01  -9.94391e+00   2.92610e+01   1.06250e+02
            76   9.77209e+01   7.60000e+01  -9.93042e+00   2.92610e+01   1.06333e+02
            77   9.78613e+01   7.70000e+01  -9.91423e+00   2.92610e+01   1.06417e+02
            78   9.79918e+01   7.80000e+01  -9.89890e+00   2.92610e+01   1.06500e+02
            79   9.81391e+01   7.90000e+01  -9.88411e+00   2.92610e+01   1.06583e+02
            80   9.82700e+01   8.00000e+01  -9.87751e+00   2.92610e+01   1.06667e+02
