         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.42837e+01   0.00000e+00  -2.91144e+01   3.33680e+01   1.00000e+02
             1   8.44255e+01   1.00000e+00  -2.81142e+01   3.33681e+01   1.00083e+02
             2   8.45806e+01   2.00000e+00  -2.69984e+01   3.33682e+01   1.00167e+02
             3   8.47710e+01   3.00000e+00  -2.59017e+01   3.33684e+01   1.00250e+02
             4   8.49571e+01   4.00000e+00  -2.49238e+01   3.33689e+01   1.00333e+02
             5   8.51630e+01   5.00000e+00  -2.40122e+01   3.33693e+01   1.00417e+02
             6   8.53570e+01   6.00000e+00  -2.32020e+01   3.33699e+01   1.00500e+02
             7   8.55657e+01   7.00000e+00  -2.24726e+01   3.33705e+01   1.00583e+02
             8   8.57695e+01   8.00000e+00  -2.18185e+01   3.33716e+01   1.00667e+02
             9   8.59950e+01   9.00000e+00  -2.11912e+01   3.33726e+01   1.00750e+02
            10   8.62109e+01   1.00000e+01  -2.06064e+01   3.33736e+01   1.00833e+02
            11   8.64187e+01   1.10000e+01  -2.00585e+01   3.33747e+01   1.00917e+02
            12   8.66369e+01   1.20000e+01  -1.95967e+01   3.33761e+01   1.01000e+02
            13   8.68523e+01   1.30000e+01  -1.91521e+01   3.33773e+01   1.01083e+02
            14   8.70611e+01   1.40000e+01  -1.87199e+01   3.33784e+01   1.01167e+02
            15   8.72865e+01   1.50000e+01  -1.83026e+01   3.33794e+01   1.01250e+02
            16   8.75024e+01   1.60000e+01  -1.79439e+01   3.33802e+01   1.01333e+02
            17   8.77063e+01   1.70000e+01  -1.75913e+01   3.33810e+01   1.01417e+02
            18   8.79245e+01   1.80000e+01  -1.72588e+01   3.33816e+01   1.01500e+02
            19   8.81331e+01   1.90000e+01  -1.69239e+01   3.33823e+01   1.01583e+02
            20   8.83256e+01   2.00000e+01  -1.66507e+01   3.33825e+01   1.01667e+02
            21   8.85453e+01   2.10000e+01  -1.63542e+01   3.33829e+01   1.01750e+02
            22   8.87463e+01   2.20000e+01  -1.60552e+01   3.33832e+01   1.01833e+02
            23   8.89632e+01   2.30000e+01  -1.57728e+01   3.33835e+01   1.01917e+02
            24   8.91638e+01   2.40000e+01  -1.55531e+01   3.33835e+01   1.02000e+02
            25   8.93578e+01   2.50000e+01  -1.53152e+01   3.33835e+01   1.02083e+02
            26   8.95669e+01   2.60000e+01  -1.50764e+01   3.33835e+01   1.02167e+02
            27   8.97657e+01   2.70000e+01  -1.48409e+01   3.33834e+01   1.02250e+02
            28   8.99481e+01   2.80000e+01  -1.46618e+01   3.33830e+01   1.02333e+02
            29   9.01620e+01   2.90000e+01  -1.44583e+01   3.33828e+01   1.02417e+02
            30   9.03318e+01   3.00000e+01  -1.42549e+01   3.33827e+01   1.02500e+02
            31   9.05406e+01   3.10000e+01  -1.40710e+01   3.33825e+01   1.02583e+02
            32   9.07108e+01   3.20000e+01  -1.39165e+01   3.33823e+01   1.02667e+02
            33   9.08991e+01   3.30000e+01  -1.37343e+01   3.33822e+01   1.02750e+02
            34   9.10773e+01   3.40000e+01  -1.35611e+01   3.33821e+01   1.02833e+02
            35   9.12829e+01   3.50000e+01  -1.34094e+01   3.33821e+01   1.02917e+02
            36   9.14639e+01   3.60000e+01  -1.32922e+01   3.33821e+01   1.03000e+02
            37   9.16488e+01   3.70000e+01  -1.31546e+01   3.33820e+01   1.03083e+02
            38   9.18121e+01   3.80000e+01  -1.30186e+01   3.33820e+01   1.03167e+02
            39   9.19813e+01   3.90000e+01  -1.28930e+01   3.33820e+01   1.03250e+02
            40   9.21606e+01   4.00000e+01  -1.27896e+01   3.33820e+01   1.03333e+02
            41   9.23445e+01   4.10000e+01  -1.26703e+01   3.33819e+01   1.03417e+02
            42   9.25315e+01   4.20000e+01  -1.25511e+01   3.33818e+01   1.03500e+02
            43   9.26809e+01   4.30000e+01  -1.24353e+01   3.33817e+01   1.03583e+02
            44   9.28489e+01   4.40000e+01  -1.23384e+01   3.33815e+01   1.03667e+02
