         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.40175e+01   0.00000e+00  -2.98641e+01   3.88674e+01   1.00000e+02
             1   8.41810e+01   1.00000e+00  -2.88291e+01   3.88676e+01   1.00083e+02
             2   8.43439e+01   2.00000e+00  -2.76833e+01   3.88678e+01   1.00167e+02
             3   8.45096e+01   3.00000e+00  -2.65567e+01   3.88680e+01   1.00250e+02
             4   8.47094e+01   4.00000e+00  -2.55724e+01   3.88683e+01   1.00333e+02
             5   8.49182e+01   5.00000e+00  -2.46804e+01   3.88687e+01   1.00417e+02
             6   8.51120e+01   6.00000e+00  -2.38824e+01   3.88693e+01   1.00500e+02
             7   8.53288e+01   7.00000e+00  -2.31076e+01   3.88699e+01   1.00583e+02
             8   8.55617e+01   8.00000e+00  -2.24431e+01   3.88709e+01   1.00667e+02
             9   8.57477e+01   9.00000e+00  -2.18006e+01   3.88719e+01   1.00750e+02
            10   8.59680e+01   1.00000e+01  -2.12089e+01   3.88729e+01   1.00833e+02
            11   8.61819e+01   1.10000e+01  -2.06525e+01   3.88740e+01   1.00917e+02
            12   8.64036e+01   1.20000e+01  -2.01881e+01   3.88753e+01   1.01000e+02
            13   8.66311e+01   1.30000e+01  -1.97458e+01   3.88765e+01   1.01083e+02
            14   8.68469e+01   1.40000e+01  -1.93197e+01   3.88775e+01   1.01167e+02
            15   8.70516e+01   1.50000e+01  -1.89232e+01   3.88786e+01   1.01250e+02
            16   8.72727e+01   1.60000e+01  -1.85613e+01   3.88793e+01   1.01333e+02
            17   8.74860e+01   1.70000e+01  -1.81948e+01   3.88800e+01   1.01417e+02
            18   8.76946e+01   1.80000e+01  -1.78401e+01   3.88806e+01   1.01500e+02
            19   8.79179e+01   1.90000e+01  -1.74952e+01   3.88812e+01   1.01583e+02
            20   8.81157e+01   2.00000e+01  -1.72014e+01   3.88813e+01   1.01667e+02
            21   8.83366e+01   2.10000e+01  -1.68962e+01   3.88815e+01   1.01750e+02
            22   8.85329e+01   2.20000e+01  -1.65991e+01   3.88817e+01   1.01833e+02
            23   8.87417e+01   2.30000e+01  -1.63369e+01   3.88819e+01   1.01917e+02
            24   8.89433e+01   2.40000e+01  -1.61217e+01   3.88819e+01   1.02000e+02
            25   8.91422e+01   2.50000e+01  -1.58914e+01   3.88819e+01   1.02083e+02
            26   8.93565e+01   2.60000e+01  -1.56513e+01   3.88818e+01   1.02167e+02
            27   8.95530e+01   2.70000e+01  -1.54024e+01   3.88818e+01   1.02250e+02
            28   8.97382e+01   2.80000e+01  -1.52192e+01   3.88816e+01   1.02333e+02
            29   8.99421e+01   2.90000e+01  -1.50179e+01   3.88815e+01   1.02417e+02
            30   9.01400e+01   3.00000e+01  -1.48168e+01   3.88814e+01   1.02500e+02
            31   9.03364e+01   3.10000e+01  -1.46179e+01   3.88813e+01   1.02583e+02
            32   9.05075e+01   3.20000e+01  -1.44660e+01   3.88811e+01   1.02667e+02
            33   9.07055e+01   3.30000e+01  -1.42883e+01   3.88809e+01   1.02750e+02
            34   9.08998e+01   3.40000e+01  -1.41079e+01   3.88808e+01   1.02833e+02
            35   9.10796e+01   3.50000e+01  -1.39383e+01   3.88806e+01   1.02917e+02
            36   9.12700e+01   3.60000e+01  -1.38107e+01   3.88804e+01   1.03000e+02
            37   9.14435e+01   3.70000e+01  -1.36635e+01   3.88803e+01   1.03083e+02
            38   9.16294e+01   3.80000e+01  -1.35155e+01   3.88802e+01   1.03167e+02
            39   9.18052e+01   3.90000e+01  -1.33722e+01   3.88801e+01   1.03250e+02
            40   9.19852e+01   4.00000e+01  -1.32651e+01   3.88800e+01   1.03333e+02
            41   9.21496e+01   4.10000e+01  -1.31418e+01   3.88798e+01   1.03417e+02
            42   9.23374e+01   4.20000e+01  -1.30155e+01   3.88797e+01   1.03500e+02
            43   9.25059e+01   4.30000e+01  -1.28841e+01   3.88796e+01   1.03583e+02
            44   9.26833e+01   4.40000e+01  -1.27933e+01   3.88794e+01   1.03667e+02
            45   9.28446e+01   4.50000e+01  -1.26849e+01   3.88792e+01   1.03750e+02
            46   9.30215e+01   4.60000e+01  -1.25849e+01   3.88791e+01   1.03833e+02
            47   9.31844e+01   4.70000e+01  -1.24824e+01   3.88791e+01   1.03917e+02
            48   9.33423e+01   4.80000e+01  -1.24178e+01   3.88790e+01   1.04000e+02
            49   9.35144e+01   4.90000e+01  -1.23330e+01   3.88789e+01   1.04083e+02
            50   9.36716e+01   5.00000e+01  -1.22451e+01   3.88788e+01   1.04167e+02
            51   9.38327e+01   5.10000e+01  -1.21585e+01   3.88787e+01   1.04250e+02
            52   9.39854e+01   5.20000e+01  -1.20899e+01   3.88785e+01   1.04333e+02
            53   9.41443e+01   5.30000e+01  -1.20146e+01   3.88784e+01   1.04417e+02
            54   9.43200e+01   5.40000e+01  -1.19384e+01   3.88783e+01   1.04500e+02
            55   9.44674e+01   5.50000e+01  -1.18642e+01   3.88782e+01   1.04583e+02
            56   9.46218e+01   5.60000e+01  -1.18084e+01   3.88781e+01   1.04667e+02
            57   9.47970e+01   5.70000e+01  -1.17426e+01   3.88781e+01   1.04750e+02
            58   9.49517e+01   5.80000e+01  -1.16761e+01   3.88780e+01   1.04833e+02
            59   9.51047e+01   5.90000e+01  -1.16104e+01   3.88780e+01   1.04917e+02
            60   9.52520e+01   6.00000e+01  -1.15549e+01   3.88780e+01   1.05000e+02
            61   9.53991e+01   6.10000e+01  -1.14971e+01   3.88779e+01   1.05083e+02
            62   9.55558e+01   6.20000e+01  -1.14414e+01   3.88778e+01   1.05167e+02
            63   9.57063e+01   6.30000e+01  -1.13878e+01   3.88777e+01   1.05250e+02
            64   9.58487e+01   6.40000e+01  -1.13454e+01   3.88775e+01   1.05333e+02
            65   9.60041e+01   6.50000e+01  -1.13003e+01   3.88774e+01   1.05417e+02
            66   9.61676e+01   6.60000e+01  -1.12573e+01   3.88773e+01   1.05500e+02
            67   9.63120e+01   6.70000e+01  -1.12155e+01   3.88772e+01   1.05583e+02
            68   9.64476e+01   6.80000e+01  -1.11893e+01   3.88771e+01   1.05667e+02
            69   9.66051e+01   6.90000e+01  -1.11549e+01   3.88771e+01   1.05750e+02
            70   9.67363e+01   7.00000e+01  -1.11203e+01   3.88771e+01   1.05833e+02
            71   9.68712e+01   7.10000e+01  -1.10873e+01   3.88770e+01   1.05917e+02
            72   9.70234e+01   7.20000e+01  -1.10696e+01   3.88770e+01   1.06000e+02
            73   9.71765e+01   7.30000e+01  -1.10439e+01   3.88770e+01   1.06083e+02
            74   9.73010e+01   7.40000e+01  -1.10195e+01   3.88770e+01   1.06167e+02
            75   9.74411e+01   7.50000e+01  -1.09965e+01   3.88770e+01   1.06250e+02
            76   9.75710e+01   7.60000e+01  -1.09807e+01   3.88769e+01   1.06333e+02
            77   9.77212e+01   7.70000e+01  -1.09610e+01   3.88768e+01   1.06417e+02
            78   9.78578e+01   7.80000e+01  -1.09408e+01   3.88767e+01   1.06500e+02
            79   9.79913e+01   7.90000e+01  -1.09200e+01   3.88766e+01   1.06583e+02
            80   9.81369e+01   8.00000e+01  -1.09065e+01   3.88764e+01   1.06667e+02
            81   9.82712e+01   8.10000e+01  -1.08901e+01   3.88762e+01   1.06750e+02
            82   9.84026e+01   8.20000e+01  -1.08735e+01   3.88761e+01   1.06833e+02
            83   9.85550e+01   8.30000e+01  -1.08578e+01   3.88761e+01   1.06917e+02
            84   9.86800e+01   8.40000e+01  -1.08509e+01   3.88761e+01   1.07000e+02
            85   9.88234e+01   8.50000e+01  -1.08409e+01   3.88761e+01   1.07083e+02
            86   9.89640e+01   8.60000e+01  -1.08301e+01   3.88760e+01   1.07167e+02
            87   9.91125e+01   8.70000e+01  -1.08179e+01   3.88760e+01   1.07250e+02
            88   9.92308e+01   8.80000e+01  -1.08078e+01   3.88760e+01   1.07333e+02
            89   9.93708e+01   8.90000e+01  -1.07971e+01   3.88760e+01   1.07417e+02
            90   9.94993e+01   9.00000e+01  -1.07868e+01   3.88760e+01   1.07500e+02
            91   9.96285e+01   9.10000e+01  -1.07766e+01   3.88760e+01   1.07583e+02
            92   9.97685e+01   9.20000e+01  -1.07737e+01   3.88760e+01   1.07667e+02
            93   9.98877e+01   9.30000e+01  -1.07680e+01   3.88760e+01   1.07750e+02
            94   1.00023e+02   9.40000e+01  -1.07625e+01   3.88760e+01   1.07833e+02
            95   1.00163e+02   9.50000e+01  -1.07572e+01   3.88760e+01   1.07917e+02
            96   1.00294e+02   9.60000e+01  -1.07510e+01   3.88760e+01   1.08000e+02
            97   1.00426e+02   9.70000e+01  -1.07471e+01   3.88760e+01   1.08083e+02
            98   1.00548e+02   9.80000e+01  -1.07433e+01   3.88760e+01   1.08167e+02
            99   1.00686e+02   9.90000e+01  -1.07407e+01   3.88760e+01   1.08250e+02
           100   1.00811e+02   1.00000e+02  -1.07422e+01   3.88760e+01   1.08333e+02
           101   1.00939e+02   1.01000e+02  -1.07397e+01   3.88760e+01   1.08417e+02
           102   1.01063e+02   1.02000e+02  -1.07377e+01   3.88760e+01   1.08500e+02
           103   1.01199e+02   1.03000e+02  -1.07366e+01   3.88760e+01   1.08583e+02
           104   1.01326e+02   1.04000e+02  -1.07405e+01   3.88759e+01   1.08667e+02
           105   1.01437e+02   1.05000e+02  -1.07413e+01   3.88758e+01   1.08750e+02
           106   1.01573e+02   1.06000e+02  -1.07415e+01   3.88757e+01   1.08833e+02
           107   1.01685e+02   1.07000e+02  -1.07428e+01   3.88756e+01   1.08917e+02
           108   1.01821e+02   1.08000e+02  -1.07458e+01   3.88754e+01   1.09000e+02
           109   1.01945e+02   1.09000e+02  -1.07491e+01   3.88752e+01   1.09083e+02
           110   1.02080e+02   1.10000e+02  -1.07527e+01   3.88751e+01   1.09167e+02
           111   1.02195e+02   1.11000e+02  -1.07563e+01   3.88751e+01   1.09250e+02
           112   1.02321e+02   1.12000e+02  -1.07610e+01   3.88751e+01   1.09333e+02
           113   1.02453e+02   1.13000e+02  -1.07624e+01   3.88750e+01   1.09417e+02
           114   1.02577e+02   1.14000e+02  -1.07648e+01   3.88750e+01   1.09500e+02
           115   1.02689e+02   1.15000e+02  -1.07665e+01   3.88750e+01   1.09583e+02
           116   1.02812e+02   1.16000e+02  -1.07715e+01   3.88750e+01   1.09667e+02
           117   1.02935e+02   1.17000e+02  -1.07738e+01   3.88750e+01   1.09750e+02
           118   1.03053e+02   1.18000e+02  -1.07752e+01   3.88749e+01   1.09833e+02
           119   1.03179e+02   1.19000e+02  -1.07762e+01   3.88748e+01   1.09917e+02
