         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.06033e+01   0.00000e+00  -1.43720e+01   4.16274e+01   1.00000e+02
             1   7.08302e+01   1.00000e+00  -1.42080e+01   4.16276e+01   1.00083e+02
             2   7.10575e+01   2.00000e+00  -1.40483e+01   4.16278e+01   1.00167e+02
             3   7.13048e+01   3.00000e+00  -1.38802e+01   4.16280e+01   1.00250e+02
             4   7.15734e+01   4.00000e+00  -1.37842e+01   4.16283e+01   1.00333e+02
             5   7.18559e+01   5.00000e+00  -1.37136e+01   4.16288e+01   1.00417e+02
             6   7.21437e+01   6.00000e+00  -1.36955e+01   4.16293e+01   1.00500e+02
             7   7.24457e+01   7.00000e+00  -1.37219e+01   4.16300e+01   1.00583e+02
             8   7.27517e+01   8.00000e+00  -1.38051e+01   4.16311e+01   1.00667e+02
             9   7.30543e+01   9.00000e+00  -1.38682e+01   4.16322e+01   1.00750e+02
            10   7.33527e+01   1.00000e+01  -1.39247e+01   4.16333e+01   1.00833e+02
            11   7.36632e+01   1.10000e+01  -1.39921e+01   4.16344e+01   1.00917e+02
            12   7.39827e+01   1.20000e+01  -1.40859e+01   4.16359e+01   1.01000e+02
            13   7.42783e+01   1.30000e+01  -1.41549e+01   4.16372e+01   1.01083e+02
            14   7.45725e+01   1.40000e+01  -1.42124e+01   4.16383e+01   1.01167e+02
            15   7.48718e+01   1.50000e+01  -1.42695e+01   4.16394e+01   1.01250e+02
            16   7.51847e+01   1.60000e+01  -1.43348e+01   4.16402e+01   1.01333e+02
            17   7.54796e+01   1.70000e+01  -1.43942e+01   4.16409e+01   1.01417e+02
            18   7.57794e+01   1.80000e+01  -1.44499e+01   4.16416e+01   1.01500e+02
            19   7.60615e+01   1.90000e+01  -1.45033e+01   4.16422e+01   1.01583e+02
            20   7.63676e+01   2.00000e+01  -1.45449e+01   4.16423e+01   1.01667e+02
            21   7.66725e+01   2.10000e+01  -1.45905e+01   4.16425e+01   1.01750e+02
            22   7.69673e+01   2.20000e+01  -1.46369e+01   4.16427e+01   1.01833e+02
            23   7.72627e+01   2.30000e+01  -1.46878e+01   4.16429e+01   1.01917e+02
            24   7.75442e+01   2.40000e+01  -1.46953e+01   4.16429e+01   1.02000e+02
            25   7.78206e+01   2.50000e+01  -1.47236e+01   4.16429e+01   1.02083e+02
            26   7.81028e+01   2.60000e+01  -1.47611e+01   4.16428e+01   1.02167e+02
            27   7.83922e+01   2.70000e+01  -1.47988e+01   4.16428e+01   1.02250e+02
            28   7.86691e+01   2.80000e+01  -1.47820e+01   4.16426e+01   1.02333e+02
            29   7.89511e+01   2.90000e+01  -1.47944e+01   4.16425e+01   1.02417e+02
            30   7.92339e+01   3.00000e+01  -1.48041e+01   4.16424e+01   1.02500e+02
            31   7.95066e+01   3.10000e+01  -1.48122e+01   4.16423e+01   1.02583e+02
            32   7.97780e+01   3.20000e+01  -1.47928e+01   4.16422e+01   1.02667e+02
            33   8.00409e+01   3.30000e+01  -1.47868e+01   4.16421e+01   1.02750e+02
            34   8.03104e+01   3.40000e+01  -1.47815e+01   4.16421e+01   1.02833e+02
            35   8.05872e+01   3.50000e+01  -1.47749e+01   4.16420e+01   1.02917e+02
