         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.46712e+01   0.00000e+00  -1.74275e+01   5.21939e+00   1.00000e+02
             1   8.48174e+01   1.00000e+00  -1.66426e+01   5.21968e+00   1.00083e+02
             2   8.49686e+01   2.00000e+00  -1.57658e+01   5.22003e+00   1.00167e+02
             3   8.51317e+01   3.00000e+00  -1.49028e+01   5.22044e+00   1.00250e+02
             4   8.53266e+01   4.00000e+00  -1.41886e+01   5.22117e+00   1.00333e+02
             5   8.55192e+01   5.00000e+00  -1.35408e+01   5.22193e+00   1.00417e+02
             6   8.57259e+01   6.00000e+00  -1.29249e+01   5.22277e+00   1.00500e+02
             7   8.59512e+01   7.00000e+00  -1.23446e+01   5.22372e+00   1.00583e+02
             8   8.61467e+01   8.00000e+00  -1.18532e+01   5.22503e+00   1.00667e+02
             9   8.63624e+01   9.00000e+00  -1.13802e+01   5.22629e+00   1.00750e+02
            10   8.65836e+01   1.00000e+01  -1.09559e+01   5.22762e+00   1.00833e+02
            11   8.67976e+01   1.10000e+01  -1.05773e+01   5.22897e+00   1.00917e+02
            12   8.70142e+01   1.20000e+01  -1.02379e+01   5.23048e+00   1.01000e+02
            13   8.72441e+01   1.30000e+01  -9.89999e+00   5.23185e+00   1.01083e+02
            14   8.74546e+01   1.40000e+01  -9.58853e+00   5.23313e+00   1.01167e+02
            15   8.76678e+01   1.50000e+01  -9.30565e+00   5.23433e+00   1.01250e+02
            16   8.78713e+01   1.60000e+01  -9.04917e+00   5.23530e+00   1.01333e+02
            17   8.80915e+01   1.70000e+01  -8.79156e+00   5.23622e+00   1.01417e+02
            18   8.83103e+01   1.80000e+01  -8.54638e+00   5.23703e+00   1.01500e+02
            19   8.85154e+01   1.90000e+01  -8.30956e+00   5.23781e+00   1.01583e+02
            20   8.87366e+01   2.00000e+01  -8.13397e+00   5.23820e+00   1.01667e+02
            21   8.89310e+01   2.10000e+01  -7.93759e+00   5.23866e+00   1.01750e+02
            22   8.91303e+01   2.20000e+01  -7.74426e+00   5.23907e+00   1.01833e+02
            23   8.93424e+01   2.30000e+01  -7.55711e+00   5.23942e+00   1.01917e+02
            24   8.95453e+01   2.40000e+01  -7.42308e+00   5.23952e+00   1.02000e+02
            25   8.97483e+01   2.50000e+01  -7.26582e+00   5.23968e+00   1.02083e+02
            26   8.99413e+01   2.60000e+01  -7.10482e+00   5.23982e+00   1.02167e+02
            27   9.01425e+01   2.70000e+01  -6.95712e+00   5.23993e+00   1.02250e+02
            28   9.03391e+01   2.80000e+01  -6.85872e+00   5.23980e+00   1.02333e+02
            29   9.05250e+01   2.90000e+01  -6.74228e+00   5.23972e+00   1.02417e+02
            30   9.07243e+01   3.00000e+01  -6.62675e+00   5.23964e+00   1.02500e+02
            31   9.09095e+01   3.10000e+01  -6.51355e+00   5.23955e+00   1.02583e+02
            32   9.11128e+01   3.20000e+01  -6.44644e+00   5.23934e+00   1.02667e+02
            33   9.12939e+01   3.30000e+01  -6.36640e+00   5.23922e+00   1.02750e+02
            34   9.14703e+01   3.40000e+01  -6.27512e+00   5.23914e+00   1.02833e+02
            35   9.16580e+01   3.50000e+01  -6.17777e+00   5.23906e+00   1.02917e+02
            36   9.18340e+01   3.60000e+01  -6.13446e+00   5.23907e+00   1.03000e+02
