         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.17736e+01   0.00000e+00  -5.92460e+00   5.87219e+00   1.00000e+02
             1   7.19966e+01   1.00000e+00  -5.78608e+00   5.87233e+00   1.00083e+02
             2   7.22348e+01   2.00000e+00  -5.67171e+00   5.87247e+00   1.00167e+02
             3   7.24563e+01   3.00000e+00  -5.54355e+00   5.87267e+00   1.00250e+02
             4   7.27290e+01   4.00000e+00  -5.49964e+00   5.87308e+00   1.00333e+02
             5   7.30081e+01   5.00000e+00  -5.42858e+00   5.87352e+00   1.00417e+02
             6   7.33012e+01   6.00000e+00  -5.39039e+00   5.87407e+00   1.00500e+02
             7   7.36048e+01   7.00000e+00  -5.38604e+00   5.87474e+00   1.00583e+02
             8   7.38964e+01   8.00000e+00  -5.41140e+00   5.87580e+00   1.00667e+02
             9   7.41841e+01   9.00000e+00  -5.43996e+00   5.87683e+00   1.00750e+02
            10   7.44836e+01   1.00000e+01  -5.47082e+00   5.87788e+00   1.00833e+02
            11   7.47890e+01   1.10000e+01  -5.50056e+00   5.87897e+00   1.00917e+02
            12   7.50901e+01   1.20000e+01  -5.55291e+00   5.88032e+00   1.01000e+02
            13   7.53918e+01   1.30000e+01  -5.57814e+00   5.88150e+00   1.01083e+02
            14   7.57023e+01   1.40000e+01  -5.59837e+00   5.88262e+00   1.01167e+02
            15   7.60031e+01   1.50000e+01  -5.61916e+00   5.88366e+00   1.01250e+02
            16   7.63141e+01   1.60000e+01  -5.64699e+00   5.88444e+00   1.01333e+02
            17   7.66180e+01   1.70000e+01  -5.67201e+00   5.88516e+00   1.01417e+02
            18   7.69119e+01   1.80000e+01  -5.69577e+00   5.88580e+00   1.01500e+02
            19   7.72131e+01   1.90000e+01  -5.71922e+00   5.88641e+00   1.01583e+02
            20   7.74858e+01   2.00000e+01  -5.73922e+00   5.88660e+00   1.01667e+02
            21   7.77975e+01   2.10000e+01  -5.75902e+00   5.88690e+00   1.01750e+02
            22   7.80791e+01   2.20000e+01  -5.77706e+00   5.88711e+00   1.01833e+02
            23   7.83684e+01   2.30000e+01  -5.79488e+00   5.88727e+00   1.01917e+02
            24   7.86707e+01   2.40000e+01  -5.80228e+00   5.88723e+00   1.02000e+02
            25   7.89478e+01   2.50000e+01  -5.81323e+00   5.88725e+00   1.02083e+02
            26   7.92244e+01   2.60000e+01  -5.82221e+00   5.88726e+00   1.02167e+02
            27   7.95225e+01   2.70000e+01  -5.83156e+00   5.88725e+00   1.02250e+02
            28   7.98006e+01   2.80000e+01  -5.83896e+00   5.88714e+00   1.02333e+02
            29   8.00721e+01   2.90000e+01  -5.84843e+00   5.88709e+00   1.02417e+02
            30   8.03402e+01   3.00000e+01  -5.85747e+00   5.88706e+00   1.02500e+02
            31   8.06165e+01   3.10000e+01  -5.86647e+00   5.88703e+00   1.02583e+02
            32   8.08820e+01   3.20000e+01  -5.86606e+00   5.88700e+00   1.02667e+02
            33   8.11507e+01   3.30000e+01  -5.86907e+00   5.88690e+00   1.02750e+02
            34   8.14143e+01   3.40000e+01  -5.87294e+00   5.88679e+00   1.02833e+02
            35   8.16746e+01   3.50000e+01  -5.87712e+00   5.88667e+00   1.02917e+02
