         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.51985e+01   0.00000e+00  -1.35872e+01   4.74231e+00   1.00000e+02
             1   8.53463e+01   1.00000e+00  -1.28857e+01   4.74255e+00   1.00083e+02
             2   8.54976e+01   2.00000e+00  -1.21124e+01   4.74283e+00   1.00167e+02
             3   8.56511e+01   3.00000e+00  -1.13671e+01   4.74322e+00   1.00250e+02
             4   8.58436e+01   4.00000e+00  -1.07617e+01   4.74387e+00   1.00333e+02
             5   8.60306e+01   5.00000e+00  -1.01648e+01   4.74456e+00   1.00417e+02
             6   8.62303e+01   6.00000e+00  -9.61238e+00   4.74537e+00   1.00500e+02
             7   8.64290e+01   7.00000e+00  -9.09001e+00   4.74625e+00   1.00583e+02
             8   8.66414e+01   8.00000e+00  -8.67180e+00   4.74762e+00   1.00667e+02
             9   8.68480e+01   9.00000e+00  -8.27165e+00   4.74891e+00   1.00750e+02
            10   8.70519e+01   1.00000e+01  -7.88040e+00   4.75021e+00   1.00833e+02
            11   8.72611e+01   1.10000e+01  -7.50853e+00   4.75158e+00   1.00917e+02
            12   8.74777e+01   1.20000e+01  -7.19377e+00   4.75318e+00   1.01000e+02
            13   8.76837e+01   1.30000e+01  -6.88253e+00   4.75461e+00   1.01083e+02
            14   8.78948e+01   1.40000e+01  -6.59910e+00   4.75593e+00   1.01167e+02
            15   8.81225e+01   1.50000e+01  -6.34734e+00   4.75718e+00   1.01250e+02
            16   8.83269e+01   1.60000e+01  -6.12893e+00   4.75811e+00   1.01333e+02
            17   8.85400e+01   1.70000e+01  -5.91025e+00   4.75904e+00   1.01417e+02
            18   8.87343e+01   1.80000e+01  -5.68958e+00   4.75986e+00   1.01500e+02
            19   8.89375e+01   1.90000e+01  -5.47392e+00   4.76058e+00   1.01583e+02
            20   8.91507e+01   2.00000e+01  -5.29524e+00   4.76080e+00   1.01667e+02
            21   8.93670e+01   2.10000e+01  -5.10414e+00   4.76116e+00   1.01750e+02
            22   8.95613e+01   2.20000e+01  -4.93109e+00   4.76147e+00   1.01833e+02
            23   8.97688e+01   2.30000e+01  -4.76723e+00   4.76173e+00   1.01917e+02
            24   8.99654e+01   2.40000e+01  -4.66350e+00   4.76173e+00   1.02000e+02
            25   9.01531e+01   2.50000e+01  -4.53815e+00   4.76182e+00   1.02083e+02
            26   9.03538e+01   2.60000e+01  -4.41683e+00   4.76190e+00   1.02167e+02
            27   9.05558e+01   2.70000e+01  -4.30324e+00   4.76197e+00   1.02250e+02
            28   9.07386e+01   2.80000e+01  -4.24756e+00   4.76195e+00   1.02333e+02
            29   9.09274e+01   2.90000e+01  -4.16153e+00   4.76197e+00   1.02417e+02
            30   9.11269e+01   3.00000e+01  -4.07292e+00   4.76198e+00   1.02500e+02
            31   9.13054e+01   3.10000e+01  -3.98825e+00   4.76200e+00   1.02583e+02
            32   9.14858e+01   3.20000e+01  -3.94374e+00   4.76199e+00   1.02667e+02
            33   9.16752e+01   3.30000e+01  -3.87770e+00   4.76200e+00   1.02750e+02
            34   9.18482e+01   3.40000e+01  -3.80735e+00   4.76200e+00   1.02833e+02
            35   9.20350e+01   3.50000e+01  -3.74616e+00   4.76200e+00   1.02917e+02
            36   9.22118e+01   3.60000e+01  -3.72637e+00   4.76200e+00   1.03000e+02
            37   9.24038e+01   3.70000e+01  -3.67899e+00   4.76200e+00   1.03083e+02
            38   9.25826e+01   3.80000e+01  -3.63493e+00   4.76200e+00   1.03167e+02
            39   9.27370e+01   3.90000e+01  -3.59290e+00   4.76200e+00   1.03250e+02
