         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.52573e+01   0.00000e+00  -1.62209e+01   5.88167e+00   1.00000e+02
             1   8.54048e+01   1.00000e+00  -1.54830e+01   5.88208e+00   1.00083e+02
             2   8.55464e+01   2.00000e+00  -1.46653e+01   5.88247e+00   1.00167e+02
             3   8.57153e+01   3.00000e+00  -1.38672e+01   5.88289e+00   1.00250e+02
             4   8.58967e+01   4.00000e+00  -1.32189e+01   5.88357e+00   1.00333e+02
             5   8.60880e+01   5.00000e+00  -1.25835e+01   5.88432e+00   1.00417e+02
             6   8.62888e+01   6.00000e+00  -1.20488e+01   5.88518e+00   1.00500e+02
             7   8.64804e+01   7.00000e+00  -1.15546e+01   5.88610e+00   1.00583e+02
             8   8.66984e+01   8.00000e+00  -1.10960e+01   5.88752e+00   1.00667e+02
             9   8.68998e+01   9.00000e+00  -1.06356e+01   5.88884e+00   1.00750e+02
            10   8.71079e+01   1.00000e+01  -1.02306e+01   5.89017e+00   1.00833e+02
            11   8.73255e+01   1.10000e+01  -9.87448e+00   5.89157e+00   1.00917e+02
            12   8.75224e+01   1.20000e+01  -9.55927e+00   5.89316e+00   1.01000e+02
            13   8.77438e+01   1.30000e+01  -9.24695e+00   5.89457e+00   1.01083e+02
            14   8.79558e+01   1.40000e+01  -8.95667e+00   5.89584e+00   1.01167e+02
            15   8.81573e+01   1.50000e+01  -8.69200e+00   5.89706e+00   1.01250e+02
            16   8.83729e+01   1.60000e+01  -8.47209e+00   5.89798e+00   1.01333e+02
            17   8.85924e+01   1.70000e+01  -8.23307e+00   5.89891e+00   1.01417e+02
            18   8.87903e+01   1.80000e+01  -7.99515e+00   5.89972e+00   1.01500e+02
            19   8.89905e+01   1.90000e+01  -7.75226e+00   5.90045e+00   1.01583e+02
            20   8.91952e+01   2.00000e+01  -7.57449e+00   5.90073e+00   1.01667e+02
            21   8.93992e+01   2.10000e+01  -7.39186e+00   5.90111e+00   1.01750e+02
            22   8.96066e+01   2.20000e+01  -7.22059e+00   5.90144e+00   1.01833e+02
            23   8.97842e+01   2.30000e+01  -7.04766e+00   5.90172e+00   1.01917e+02
            24   8.99948e+01   2.40000e+01  -6.92771e+00   5.90171e+00   1.02000e+02
            25   9.02001e+01   2.50000e+01  -6.78717e+00   5.90181e+00   1.02083e+02
            26   9.03939e+01   2.60000e+01  -6.64789e+00   5.90190e+00   1.02167e+02
            27   9.05900e+01   2.70000e+01  -6.51119e+00   5.90197e+00   1.02250e+02
            28   9.07764e+01   2.80000e+01  -6.42088e+00   5.90195e+00   1.02333e+02
            29   9.09569e+01   2.90000e+01  -6.30688e+00   5.90194e+00   1.02417e+02
            30   9.11433e+01   3.00000e+01  -6.18951e+00   5.90187e+00   1.02500e+02
            31   9.13456e+01   3.10000e+01  -6.08222e+00   5.90177e+00   1.02583e+02
            32   9.15175e+01   3.20000e+01  -6.01429e+00   5.90163e+00   1.02667e+02
            33   9.16993e+01   3.30000e+01  -5.93071e+00   5.90151e+00   1.02750e+02
            34   9.18759e+01   3.40000e+01  -5.84811e+00   5.90141e+00   1.02833e+02
            35   9.20634e+01   3.50000e+01  -5.76749e+00   5.90131e+00   1.02917e+02
            36   9.22325e+01   3.60000e+01  -5.72921e+00   5.90121e+00   1.03000e+02
            37   9.23977e+01   3.70000e+01  -5.66110e+00   5.90114e+00   1.03083e+02
            38   9.25798e+01   3.80000e+01  -5.59705e+00   5.90108e+00   1.03167e+02
            39   9.27526e+01   3.90000e+01  -5.53624e+00   5.90103e+00   1.03250e+02
            40   9.29244e+01   4.00000e+01  -5.51070e+00   5.90104e+00   1.03333e+02
