         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.48794e+01   0.00000e+00  -1.49872e+01   7.50119e+00   1.00000e+02
             1   8.50219e+01   1.00000e+00  -1.42475e+01   7.50135e+00   1.00083e+02
             2   8.51818e+01   2.00000e+00  -1.34394e+01   7.50162e+00   1.00167e+02
             3   8.53391e+01   3.00000e+00  -1.26593e+01   7.50200e+00   1.00250e+02
             4   8.55348e+01   4.00000e+00  -1.20123e+01   7.50268e+00   1.00333e+02
             5   8.57378e+01   5.00000e+00  -1.14220e+01   7.50338e+00   1.00417e+02
             6   8.59356e+01   6.00000e+00  -1.08599e+01   7.50421e+00   1.00500e+02
             7   8.61411e+01   7.00000e+00  -1.03291e+01   7.50511e+00   1.00583e+02
             8   8.63451e+01   8.00000e+00  -9.88982e+00   7.50654e+00   1.00667e+02
             9   8.65667e+01   9.00000e+00  -9.46707e+00   7.50785e+00   1.00750e+02
            10   8.67782e+01   1.00000e+01  -9.06105e+00   7.50915e+00   1.00833e+02
            11   8.69942e+01   1.10000e+01  -8.67461e+00   7.51046e+00   1.00917e+02
            12   8.72091e+01   1.20000e+01  -8.35880e+00   7.51202e+00   1.01000e+02
            13   8.74020e+01   1.30000e+01  -8.04065e+00   7.51335e+00   1.01083e+02
            14   8.76259e+01   1.40000e+01  -7.74605e+00   7.51461e+00   1.01167e+02
            15   8.78560e+01   1.50000e+01  -7.48087e+00   7.51583e+00   1.01250e+02
            16   8.80730e+01   1.60000e+01  -7.24598e+00   7.51675e+00   1.01333e+02
            17   8.82789e+01   1.70000e+01  -7.01140e+00   7.51763e+00   1.01417e+02
            18   8.84924e+01   1.80000e+01  -6.79139e+00   7.51846e+00   1.01500e+02
            19   8.87079e+01   1.90000e+01  -6.57103e+00   7.51920e+00   1.01583e+02
            20   8.89104e+01   2.00000e+01  -6.40104e+00   7.51951e+00   1.01667e+02
            21   8.91252e+01   2.10000e+01  -6.20706e+00   7.51991e+00   1.01750e+02
            22   8.93209e+01   2.20000e+01  -6.00399e+00   7.52027e+00   1.01833e+02
            23   8.95548e+01   2.30000e+01  -5.80319e+00   7.52058e+00   1.01917e+02
            24   8.97329e+01   2.40000e+01  -5.67778e+00   7.52063e+00   1.02000e+02
            25   8.99353e+01   2.50000e+01  -5.52639e+00   7.52075e+00   1.02083e+02
            26   9.01442e+01   2.60000e+01  -5.39018e+00   7.52086e+00   1.02167e+02
            27   9.03516e+01   2.70000e+01  -5.25373e+00   7.52095e+00   1.02250e+02
            28   9.05423e+01   2.80000e+01  -5.16486e+00   7.52093e+00   1.02333e+02
            29   9.07338e+01   2.90000e+01  -5.05837e+00   7.52093e+00   1.02417e+02
            30   9.09194e+01   3.00000e+01  -4.95474e+00   7.52086e+00   1.02500e+02
            31   9.11174e+01   3.10000e+01  -4.85471e+00   7.52077e+00   1.02583e+02
            32   9.13072e+01   3.20000e+01  -4.79733e+00   7.52062e+00   1.02667e+02
            33   9.14885e+01   3.30000e+01  -4.71778e+00   7.52051e+00   1.02750e+02
            34   9.16664e+01   3.40000e+01  -4.63534e+00   7.52041e+00   1.02833e+02
            35   9.18525e+01   3.50000e+01  -4.56410e+00   7.52031e+00   1.02917e+02
            36   9.20528e+01   3.60000e+01  -4.54141e+00   7.52021e+00   1.03000e+02
            37   9.22236e+01   3.70000e+01  -4.49234e+00   7.52014e+00   1.03083e+02
            38   9.23945e+01   3.80000e+01  -4.44352e+00   7.52008e+00   1.03167e+02
