         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.53156e+01   0.00000e+00  -1.60316e+01   6.77131e+00   1.00000e+02
             1   8.54645e+01   1.00000e+00  -1.52708e+01   6.77155e+00   1.00083e+02
             2   8.56118e+01   2.00000e+00  -1.44415e+01   6.77180e+00   1.00167e+02
             3   8.57700e+01   3.00000e+00  -1.36538e+01   6.77211e+00   1.00250e+02
             4   8.59587e+01   4.00000e+00  -1.29273e+01   6.77275e+00   1.00333e+02
             5   8.61448e+01   5.00000e+00  -1.22348e+01   6.77341e+00   1.00417e+02
             6   8.63496e+01   6.00000e+00  -1.16472e+01   6.77416e+00   1.00500e+02
             7   8.65491e+01   7.00000e+00  -1.10889e+01   6.77501e+00   1.00583e+02
             8   8.67636e+01   8.00000e+00  -1.06197e+01   6.77640e+00   1.00667e+02
             9   8.69620e+01   9.00000e+00  -1.01419e+01   6.77764e+00   1.00750e+02
            10   8.71864e+01   1.00000e+01  -9.72119e+00   6.77892e+00   1.00833e+02
            11   8.73856e+01   1.10000e+01  -9.30984e+00   6.78022e+00   1.00917e+02
            12   8.76072e+01   1.20000e+01  -8.97056e+00   6.78173e+00   1.01000e+02
            13   8.78081e+01   1.30000e+01  -8.63252e+00   6.78306e+00   1.01083e+02
            14   8.80159e+01   1.40000e+01  -8.31794e+00   6.78431e+00   1.01167e+02
            15   8.82285e+01   1.50000e+01  -8.00395e+00   6.78547e+00   1.01250e+02
            16   8.84471e+01   1.60000e+01  -7.73878e+00   6.78639e+00   1.01333e+02
            17   8.86546e+01   1.70000e+01  -7.46331e+00   6.78728e+00   1.01417e+02
            18   8.88702e+01   1.80000e+01  -7.19717e+00   6.78804e+00   1.01500e+02
            19   8.90725e+01   1.90000e+01  -6.96632e+00   6.78872e+00   1.01583e+02
            20   8.92779e+01   2.00000e+01  -6.77533e+00   6.78909e+00   1.01667e+02
            21   8.94786e+01   2.10000e+01  -6.58233e+00   6.78955e+00   1.01750e+02
            22   8.96669e+01   2.20000e+01  -6.38805e+00   6.78995e+00   1.01833e+02
            23   8.98803e+01   2.30000e+01  -6.19883e+00   6.79030e+00   1.01917e+02
            24   9.00794e+01   2.40000e+01  -6.06012e+00   6.79045e+00   1.02000e+02
            25   9.02793e+01   2.50000e+01  -5.89622e+00   6.79064e+00   1.02083e+02
            26   9.04734e+01   2.60000e+01  -5.74457e+00   6.79079e+00   1.02167e+02
            27   9.06610e+01   2.70000e+01  -5.59988e+00   6.79092e+00   1.02250e+02
            28   9.08616e+01   2.80000e+01  -5.50587e+00   6.79087e+00   1.02333e+02
            29   9.10569e+01   2.90000e+01  -5.39856e+00   6.79081e+00   1.02417e+02
            30   9.12497e+01   3.00000e+01  -5.28412e+00   6.79074e+00   1.02500e+02
            31   9.14346e+01   3.10000e+01  -5.17142e+00   6.79066e+00   1.02583e+02
            32   9.16198e+01   3.20000e+01  -5.09615e+00   6.79048e+00   1.02667e+02
            33   9.17984e+01   3.30000e+01  -4.99802e+00   6.79037e+00   1.02750e+02
            34   9.19872e+01   3.40000e+01  -4.90587e+00   6.79027e+00   1.02833e+02
            35   9.21624e+01   3.50000e+01  -4.80904e+00   6.79018e+00   1.02917e+02
            36   9.23512e+01   3.60000e+01  -4.74588e+00   6.79014e+00   1.03000e+02
            37   9.25146e+01   3.70000e+01  -4.67101e+00   6.79009e+00   1.03083e+02
            38   9.26919e+01   3.80000e+01  -4.60585e+00   6.79005e+00   1.03167e+02
            39   9.28665e+01   3.90000e+01  -4.54548e+00   6.79002e+00   1.03250e+02
            40   9.30306e+01   4.00000e+01  -4.54033e+00   6.79003e+00   1.03333e+02
            41   9.32021e+01   4.10000e+01  -4.51324e+00   6.79002e+00   1.03417e+02
            42   9.33759e+01   4.20000e+01  -4.48273e+00   6.79001e+00   1.03500e+02
            43   9.35357e+01   4.30000e+01  -4.44606e+00   6.79000e+00   1.03583e+02
            44   9.37037e+01   4.40000e+01  -4.42456e+00   6.79001e+00   1.03667e+02
            45   9.38765e+01   4.50000e+01  -4.39648e+00   6.79000e+00   1.03750e+02
            46   9.40414e+01   4.60000e+01  -4.36960e+00   6.79000e+00   1.03833e+02
            47   9.41975e+01   4.70000e+01  -4.34461e+00   6.79000e+00   1.03917e+02
            48   9.43521e+01   4.80000e+01  -4.33421e+00   6.79000e+00   1.04000e+02
            49   9.45165e+01   4.90000e+01  -4.32016e+00   6.79000e+00   1.04083e+02
            50   9.46732e+01   5.00000e+01  -4.30597e+00   6.79000e+00   1.04167e+02
            51   9.48380e+01   5.10000e+01  -4.29187e+00   6.79000e+00   1.04250e+02
            52   9.49898e+01   5.20000e+01  -4.29175e+00   6.79000e+00   1.04333e+02
            53   9.51388e+01   5.30000e+01  -4.28626e+00   6.79000e+00   1.04417e+02
            54   9.52884e+01   5.40000e+01  -4.28092e+00   6.79000e+00   1.04500e+02
            55   9.54462e+01   5.50000e+01  -4.27652e+00   6.79000e+00   1.04583e+02
            56   9.55942e+01   5.60000e+01  -4.28227e+00   6.79000e+00   1.04667e+02
            57   9.57487e+01   5.70000e+01  -4.28379e+00   6.79000e+00   1.04750e+02
            58   9.58964e+01   5.80000e+01  -4.28607e+00   6.79000e+00   1.04833e+02
            59   9.60578e+01   5.90000e+01  -4.28897e+00   6.79000e+00   1.04917e+02
            60   9.61918e+01   6.00000e+01  -4.30302e+00   6.79000e+00   1.05000e+02
            61   9.63516e+01   6.10000e+01  -4.31270e+00   6.79000e+00   1.05083e+02
            62   9.65047e+01   6.20000e+01  -4.32215e+00   6.79000e+00   1.05167e+02
            63   9.66467e+01   6.30000e+01  -4.33206e+00   6.79000e+00   1.05250e+02
            64   9.67777e+01   6.40000e+01  -4.35183e+00   6.79000e+00   1.05333e+02
            65   9.69172e+01   6.50000e+01  -4.36762e+00   6.79000e+00   1.05417e+02
            66   9.70808e+01   6.60000e+01  -4.38288e+00   6.79000e+00   1.05500e+02
            67   9.72073e+01   6.70000e+01  -4.39939e+00   6.79000e+00   1.05583e+02
            68   9.73502e+01   6.80000e+01  -4.42249e+00   6.79000e+00   1.05667e+02
            69   9.74919e+01   6.90000e+01  -4.44366e+00   6.79000e+00   1.05750e+02
            70   9.76289e+01   7.00000e+01  -4.46464e+00   6.79000e+00   1.05833e+02
            71   9.77733e+01   7.10000e+01  -4.48547e+00   6.79000e+00   1.05917e+02
            72   9.79125e+01   7.20000e+01  -4.51029e+00   6.79000e+00   1.06000e+02
            73   9.80433e+01   7.30000e+01  -4.53203e+00   6.79000e+00   1.06083e+02
            74   9.81704e+01   7.40000e+01  -4.55325e+00   6.79003e+00   1.06167e+02
            75   9.83145e+01   7.50000e+01  -4.57528e+00   6.79011e+00   1.06250e+02
            76   9.84552e+01   7.60000e+01  -4.60082e+00   6.79023e+00   1.06333e+02
            77   9.86044e+01   7.70000e+01  -4.62468e+00   6.79035e+00   1.06417e+02
            78   9.87281e+01   7.80000e+01  -4.64800e+00   6.79046e+00   1.06500e+02
            79   9.88591e+01   7.90000e+01  -4.67186e+00   6.79057e+00   1.06583e+02
            80   9.89835e+01   8.00000e+01  -4.69479e+00   6.79071e+00   1.06667e+02
            81   9.91185e+01   8.10000e+01  -4.71835e+00   6.79081e+00   1.06750e+02
            82   9.92695e+01   8.20000e+01  -4.74218e+00   6.79089e+00   1.06833e+02
            83   9.93990e+01   8.30000e+01  -4.76596e+00   6.79095e+00   1.06917e+02
            84   9.95284e+01   8.40000e+01  -4.79310e+00   6.79094e+00   1.07000e+02
            85   9.96605e+01   8.50000e+01  -4.81706e+00   6.79096e+00   1.07083e+02
            86   9.97842e+01   8.60000e+01  -4.84167e+00   6.79098e+00   1.07167e+02
            87   9.99352e+01   8.70000e+01  -4.86741e+00   6.79099e+00   1.07250e+02
            88   1.00061e+02   8.80000e+01  -4.89323e+00   6.79099e+00   1.07333e+02
            89   1.00188e+02   8.90000e+01  -4.91981e+00   6.79099e+00   1.07417e+02
            90   1.00320e+02   9.00000e+01  -4.94543e+00   6.79100e+00   1.07500e+02
            91   1.00444e+02   9.10000e+01  -4.97067e+00   6.79100e+00   1.07583e+02
            92   1.00570e+02   9.20000e+01  -4.99666e+00   6.79100e+00   1.07667e+02
            93   1.00706e+02   9.30000e+01  -5.02248e+00   6.79100e+00   1.07750e+02
            94   1.00839e+02   9.40000e+01  -5.04902e+00   6.79100e+00   1.07833e+02
            95   1.00961e+02   9.50000e+01  -5.07606e+00   6.79100e+00   1.07917e+02
            96   1.01094e+02   9.60000e+01  -5.10449e+00   6.79100e+00   1.08000e+02
            97   1.01205e+02   9.70000e+01  -5.13063e+00   6.79100e+00   1.08083e+02
