         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.49903e+01   0.00000e+00  -2.01244e+01   7.82131e+00   1.00000e+02
             1   8.51424e+01   1.00000e+00  -1.93217e+01   7.82155e+00   1.00083e+02
             2   8.53001e+01   2.00000e+00  -1.84171e+01   7.82180e+00   1.00167e+02
             3   8.54598e+01   3.00000e+00  -1.74726e+01   7.82211e+00   1.00250e+02
             4   8.56598e+01   4.00000e+00  -1.67027e+01   7.82275e+00   1.00333e+02
             5   8.58310e+01   5.00000e+00  -1.59995e+01   7.82343e+00   1.00417e+02
             6   8.60462e+01   6.00000e+00  -1.53348e+01   7.82425e+00   1.00500e+02
             7   8.62531e+01   7.00000e+00  -1.47074e+01   7.82512e+00   1.00583e+02
             8   8.64630e+01   8.00000e+00  -1.41704e+01   7.82656e+00   1.00667e+02
             9   8.66684e+01   9.00000e+00  -1.36491e+01   7.82789e+00   1.00750e+02
            10   8.68800e+01   1.00000e+01  -1.31767e+01   7.82927e+00   1.00833e+02
            11   8.71007e+01   1.10000e+01  -1.27547e+01   7.83068e+00   1.00917e+02
            12   8.73201e+01   1.20000e+01  -1.23714e+01   7.83230e+00   1.01000e+02
            13   8.75287e+01   1.30000e+01  -1.19960e+01   7.83373e+00   1.01083e+02
            14   8.77334e+01   1.40000e+01  -1.16509e+01   7.83509e+00   1.01167e+02
            15   8.79609e+01   1.50000e+01  -1.13350e+01   7.83641e+00   1.01250e+02
            16   8.81842e+01   1.60000e+01  -1.10534e+01   7.83742e+00   1.01333e+02
            17   8.83735e+01   1.70000e+01  -1.07651e+01   7.83844e+00   1.01417e+02
            18   8.85910e+01   1.80000e+01  -1.04893e+01   7.83934e+00   1.01500e+02
            19   8.88083e+01   1.90000e+01  -1.02247e+01   7.84016e+00   1.01583e+02
            20   8.90104e+01   2.00000e+01  -1.00088e+01   7.84053e+00   1.01667e+02
            21   8.92230e+01   2.10000e+01  -9.78763e+00   7.84098e+00   1.01750e+02
            22   8.94250e+01   2.20000e+01  -9.57804e+00   7.84136e+00   1.01833e+02
            23   8.96059e+01   2.30000e+01  -9.36710e+00   7.84168e+00   1.01917e+02
            24   8.98326e+01   2.40000e+01  -9.20454e+00   7.84167e+00   1.02000e+02
            25   9.00365e+01   2.50000e+01  -9.01637e+00   7.84178e+00   1.02083e+02
            26   9.02320e+01   2.60000e+01  -8.83989e+00   7.84188e+00   1.02167e+02
            27   9.04256e+01   2.70000e+01  -8.67115e+00   7.84196e+00   1.02250e+02
            28   9.06140e+01   2.80000e+01  -8.55181e+00   7.84194e+00   1.02333e+02
            29   9.08213e+01   2.90000e+01  -8.41377e+00   7.84196e+00   1.02417e+02
            30   9.10016e+01   3.00000e+01  -8.27572e+00   7.84198e+00   1.02500e+02
            31   9.12017e+01   3.10000e+01  -8.14058e+00   7.84200e+00   1.02583e+02
            32   9.13848e+01   3.20000e+01  -8.06182e+00   7.84199e+00   1.02667e+02
            33   9.15720e+01   3.30000e+01  -7.95018e+00   7.84199e+00   1.02750e+02
            34   9.17505e+01   3.40000e+01  -7.83133e+00   7.84200e+00   1.02833e+02
