         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.53397e+01   0.00000e+00  -1.56004e+01   7.06219e+00   1.00000e+02
             1   8.54861e+01   1.00000e+00  -1.48509e+01   7.06235e+00   1.00083e+02
             2   8.56219e+01   2.00000e+00  -1.40261e+01   7.06259e+00   1.00167e+02
             3   8.57890e+01   3.00000e+00  -1.32220e+01   7.06289e+00   1.00250e+02
             4   8.59710e+01   4.00000e+00  -1.25588e+01   7.06347e+00   1.00333e+02
             5   8.61565e+01   5.00000e+00  -1.19079e+01   7.06412e+00   1.00417e+02
             6   8.63548e+01   6.00000e+00  -1.13082e+01   7.06486e+00   1.00500e+02
             7   8.65571e+01   7.00000e+00  -1.07437e+01   7.06565e+00   1.00583e+02
             8   8.67565e+01   8.00000e+00  -1.03004e+01   7.06696e+00   1.00667e+02
             9   8.69675e+01   9.00000e+00  -9.83092e+00   7.06818e+00   1.00750e+02
            10   8.71811e+01   1.00000e+01  -9.37868e+00   7.06940e+00   1.00833e+02
            11   8.74032e+01   1.10000e+01  -8.97096e+00   7.07063e+00   1.00917e+02
            12   8.76028e+01   1.20000e+01  -8.65439e+00   7.07217e+00   1.01000e+02
            13   8.78181e+01   1.30000e+01  -8.32727e+00   7.07353e+00   1.01083e+02
            14   8.80297e+01   1.40000e+01  -8.02214e+00   7.07476e+00   1.01167e+02
            15   8.82508e+01   1.50000e+01  -7.71713e+00   7.07596e+00   1.01250e+02
            16   8.84575e+01   1.60000e+01  -7.45539e+00   7.07691e+00   1.01333e+02
            17   8.86754e+01   1.70000e+01  -7.18154e+00   7.07779e+00   1.01417e+02
            18   8.88836e+01   1.80000e+01  -6.93252e+00   7.07860e+00   1.01500e+02
            19   8.90798e+01   1.90000e+01  -6.69859e+00   7.07933e+00   1.01583e+02
            20   8.92834e+01   2.00000e+01  -6.54802e+00   7.07958e+00   1.01667e+02
            21   8.94919e+01   2.10000e+01  -6.36067e+00   7.07996e+00   1.01750e+02
            22   8.96891e+01   2.20000e+01  -6.17849e+00   7.08030e+00   1.01833e+02
            23   8.98751e+01   2.30000e+01  -6.01208e+00   7.08059e+00   1.01917e+02
            24   9.00896e+01   2.40000e+01  -5.86110e+00   7.08064e+00   1.02000e+02
            25   9.02993e+01   2.50000e+01  -5.70430e+00   7.08076e+00   1.02083e+02
            26   9.04984e+01   2.60000e+01  -5.54733e+00   7.08087e+00   1.02167e+02
            27   9.06794e+01   2.70000e+01  -5.40297e+00   7.08096e+00   1.02250e+02
            28   9.08734e+01   2.80000e+01  -5.29676e+00   7.08093e+00   1.02333e+02
            29   9.10579e+01   2.90000e+01  -5.18006e+00   7.08096e+00   1.02417e+02
            30   9.12410e+01   3.00000e+01  -5.06403e+00   7.08098e+00   1.02500e+02
            31   9.14298e+01   3.10000e+01  -4.97071e+00   7.08100e+00   1.02583e+02
            32   9.16081e+01   3.20000e+01  -4.92256e+00   7.08099e+00   1.02667e+02
            33   9.18039e+01   3.30000e+01  -4.84940e+00   7.08099e+00   1.02750e+02
            34   9.19822e+01   3.40000e+01  -4.76162e+00   7.08100e+00   1.02833e+02
            35   9.21514e+01   3.50000e+01  -4.68335e+00   7.08100e+00   1.02917e+02
            36   9.23309e+01   3.60000e+01  -4.63611e+00   7.08100e+00   1.03000e+02
            37   9.25094e+01   3.70000e+01  -4.57620e+00   7.08100e+00   1.03083e+02
            38   9.26909e+01   3.80000e+01  -4.51849e+00   7.08100e+00   1.03167e+02
            39   9.28540e+01   3.90000e+01  -4.46300e+00   7.08100e+00   1.03250e+02
            40   9.30330e+01   4.00000e+01  -4.44376e+00   7.08100e+00   1.03333e+02
            41   9.31922e+01   4.10000e+01  -4.39975e+00   7.08100e+00   1.03417e+02
            42   9.33687e+01   4.20000e+01  -4.35584e+00   7.08100e+00   1.03500e+02
            43   9.35265e+01   4.30000e+01  -4.30876e+00   7.08100e+00   1.03583e+02
            44   9.36992e+01   4.40000e+01  -4.30630e+00   7.08100e+00   1.03667e+02
            45   9.38708e+01   4.50000e+01  -4.28448e+00   7.08100e+00   1.03750e+02
            46   9.40355e+01   4.60000e+01  -4.26084e+00   7.08100e+00   1.03833e+02
            47   9.41836e+01   4.70000e+01  -4.23872e+00   7.08100e+00   1.03917e+02
            48   9.43329e+01   4.80000e+01  -4.23755e+00   7.08100e+00   1.04000e+02
            49   9.45058e+01   4.90000e+01  -4.22723e+00   7.08100e+00   1.04083e+02
            50   9.46589e+01   5.00000e+01  -4.21562e+00   7.08100e+00   1.04167e+02
            51   9.48201e+01   5.10000e+01  -4.20540e+00   7.08100e+00   1.04250e+02
            52   9.49728e+01   5.20000e+01  -4.20740e+00   7.08100e+00   1.04333e+02
            53   9.51385e+01   5.30000e+01  -4.20551e+00   7.08100e+00   1.04417e+02
            54   9.52942e+01   5.40000e+01  -4.20334e+00   7.08100e+00   1.04500e+02
            55   9.54479e+01   5.50000e+01  -4.20201e+00   7.08100e+00   1.04583e+02
            56   9.55853e+01   5.60000e+01  -4.21589e+00   7.08100e+00   1.04667e+02
            57   9.57419e+01   5.70000e+01  -4.22386e+00   7.08100e+00   1.04750e+02
            58   9.58961e+01   5.80000e+01  -4.23101e+00   7.08100e+00   1.04833e+02
            59   9.60344e+01   5.90000e+01  -4.23783e+00   7.08100e+00   1.04917e+02
            60   9.61782e+01   6.00000e+01  -4.25535e+00   7.08100e+00   1.05000e+02
            61   9.63416e+01   6.10000e+01  -4.26972e+00   7.08100e+00   1.05083e+02
            62   9.64776e+01   6.20000e+01  -4.28319e+00   7.08100e+00   1.05167e+02
            63   9.66179e+01   6.30000e+01  -4.29766e+00   7.08100e+00   1.05250e+02
            64   9.67773e+01   6.40000e+01  -4.32135e+00   7.08100e+00   1.05333e+02
            65   9.69085e+01   6.50000e+01  -4.34087e+00   7.08100e+00   1.05417e+02
            66   9.70556e+01   6.60000e+01  -4.35895e+00   7.08100e+00   1.05500e+02
            67   9.71895e+01   6.70000e+01  -4.37792e+00   7.08100e+00   1.05583e+02
            68   9.73347e+01   6.80000e+01  -4.40356e+00   7.08100e+00   1.05667e+02
            69   9.74754e+01   6.90000e+01  -4.42677e+00   7.08100e+00   1.05750e+02
            70   9.76213e+01   7.00000e+01  -4.44928e+00   7.08100e+00   1.05833e+02
            71   9.77548e+01   7.10000e+01  -4.47155e+00   7.08100e+00   1.05917e+02
            72   9.78922e+01   7.20000e+01  -4.49666e+00   7.08100e+00   1.06000e+02
            73   9.80242e+01   7.30000e+01  -4.52085e+00   7.08100e+00   1.06083e+02
            74   9.81604e+01   7.40000e+01  -4.54543e+00   7.08100e+00   1.06167e+02
            75   9.82879e+01   7.50000e+01  -4.57027e+00   7.08100e+00   1.06250e+02
            76   9.84252e+01   7.60000e+01  -4.59801e+00   7.08100e+00   1.06333e+02
            77   9.85721e+01   7.70000e+01  -4.62511e+00   7.08100e+00   1.06417e+02
            78   9.87014e+01   7.80000e+01  -4.65112e+00   7.08100e+00   1.06500e+02
            79   9.88383e+01   7.90000e+01  -4.67724e+00   7.08100e+00   1.06583e+02
            80   9.89755e+01   8.00000e+01  -4.70433e+00   7.08103e+00   1.06667e+02
            81   9.91058e+01   8.10000e+01  -4.73135e+00   7.08112e+00   1.06750e+02
            82   9.92433e+01   8.20000e+01  -4.75931e+00   7.08122e+00   1.06833e+02
            83   9.93656e+01   8.30000e+01  -4.78755e+00   7.08133e+00   1.06917e+02
            84   9.95011e+01   8.40000e+01  -4.81945e+00   7.08150e+00   1.07000e+02
