         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   7.15585e+01   0.00000e+00  -6.70837e+00   8.59739e+00   1.00000e+02
             1   7.17775e+01   1.00000e+00  -6.51548e+00   8.59718e+00   1.00083e+02
             2   7.20054e+01   2.00000e+00  -6.36154e+00   8.59718e+00   1.00167e+02
             3   7.22515e+01   3.00000e+00  -6.21282e+00   8.59733e+00   1.00250e+02
             4   7.25238e+01   4.00000e+00  -6.16932e+00   8.59791e+00   1.00333e+02
             5   7.28064e+01   5.00000e+00  -6.11080e+00   8.59856e+00   1.00417e+02
             6   7.30897e+01   6.00000e+00  -6.08115e+00   8.59934e+00   1.00500e+02
             7   7.33798e+01   7.00000e+00  -6.08388e+00   8.60026e+00   1.00583e+02
             8   7.36702e+01   8.00000e+00  -6.12494e+00   8.60180e+00   1.00667e+02
             9   7.39676e+01   9.00000e+00  -6.15247e+00   8.60314e+00   1.00750e+02
            10   7.42733e+01   1.00000e+01  -6.17796e+00   8.60452e+00   1.00833e+02
            11   7.45685e+01   1.10000e+01  -6.20369e+00   8.60592e+00   1.00917e+02
            12   7.48709e+01   1.20000e+01  -6.23540e+00   8.60741e+00   1.01000e+02
            13   7.51714e+01   1.30000e+01  -6.25371e+00   8.60870e+00   1.01083e+02
            14   7.54818e+01   1.40000e+01  -6.26985e+00   8.60989e+00   1.01167e+02
            15   7.57937e+01   1.50000e+01  -6.28711e+00   8.61099e+00   1.01250e+02
            16   7.60918e+01   1.60000e+01  -6.31160e+00   8.61179e+00   1.01333e+02
            17   7.63970e+01   1.70000e+01  -6.33360e+00   8.61259e+00   1.01417e+02
            18   7.67006e+01   1.80000e+01  -6.35365e+00   8.61328e+00   1.01500e+02
            19   7.69897e+01   1.90000e+01  -6.37338e+00   8.61389e+00   1.01583e+02
            20   7.72906e+01   2.00000e+01  -6.38550e+00   8.61411e+00   1.01667e+02
            21   7.75855e+01   2.10000e+01  -6.39777e+00   8.61438e+00   1.01750e+02
            22   7.78681e+01   2.20000e+01  -6.40805e+00   8.61454e+00   1.01833e+02
            23   7.81731e+01   2.30000e+01  -6.41860e+00   8.61465e+00   1.01917e+02
            24   7.84678e+01   2.40000e+01  -6.42214e+00   8.61447e+00   1.02000e+02
            25   7.87325e+01   2.50000e+01  -6.42944e+00   8.61440e+00   1.02083e+02
            26   7.90216e+01   2.60000e+01  -6.43637e+00   8.61435e+00   1.02167e+02
            27   7.92983e+01   2.70000e+01  -6.44257e+00   8.61429e+00   1.02250e+02
            28   7.95910e+01   2.80000e+01  -6.43895e+00   8.61419e+00   1.02333e+02
            29   7.98717e+01   2.90000e+01  -6.44023e+00   8.61412e+00   1.02417e+02
            30   8.01555e+01   3.00000e+01  -6.44173e+00   8.61407e+00   1.02500e+02
            31   8.04279e+01   3.10000e+01  -6.44208e+00   8.61403e+00   1.02583e+02
            32   8.06982e+01   3.20000e+01  -6.43477e+00   8.61404e+00   1.02667e+02
            33   8.09626e+01   3.30000e+01  -6.43116e+00   8.61400e+00   1.02750e+02
            34   8.12267e+01   3.40000e+01  -6.42899e+00   8.61389e+00   1.02833e+02
            35   8.14876e+01   3.50000e+01  -6.42619e+00   8.61378e+00   1.02917e+02
            36   8.17541e+01   3.60000e+01  -6.41859e+00   8.61353e+00   1.03000e+02
            37   8.20192e+01   3.70000e+01  -6.41400e+00   8.61330e+00   1.03083e+02
            38   8.22827e+01   3.80000e+01  -6.40880e+00   8.61308e+00   1.03167e+02
            39   8.25438e+01   3.90000e+01  -6.40573e+00   8.61286e+00   1.03250e+02
            40   8.28028e+01   4.00000e+01  -6.39654e+00   8.61257e+00   1.03333e+02
            41   8.30458e+01   4.10000e+01  -6.38999e+00   8.61238e+00   1.03417e+02
            42   8.32998e+01   4.20000e+01  -6.38513e+00   8.61223e+00   1.03500e+02
            43   8.35492e+01   4.30000e+01  -6.37957e+00   8.61210e+00   1.03583e+02
            44   8.37958e+01   4.40000e+01  -6.37410e+00   8.61211e+00   1.03667e+02
            45   8.40441e+01   4.50000e+01  -6.36908e+00   8.61208e+00   1.03750e+02
            46   8.42765e+01   4.60000e+01  -6.36514e+00   8.61204e+00   1.03833e+02
            47   8.45258e+01   4.70000e+01  -6.36180e+00   8.61201e+00   1.03917e+02
            48   8.47606e+01   4.80000e+01  -6.36285e+00   8.61202e+00   1.04000e+02
            49   8.49987e+01   4.90000e+01  -6.36241e+00   8.61199e+00   1.04083e+02
            50   8.52301e+01   5.00000e+01  -6.36126e+00   8.61189e+00   1.04167e+02
            51   8.54614e+01   5.10000e+01  -6.36023e+00   8.61178e+00   1.04250e+02
            52   8.57059e+01   5.20000e+01  -6.36067e+00   8.61164e+00   1.04333e+02
            53   8.59203e+01   5.30000e+01  -6.36145e+00   8.61152e+00   1.04417e+02
            54   8.61549e+01   5.40000e+01  -6.36135e+00   8.61141e+00   1.04500e+02
            55   8.63808e+01   5.50000e+01  -6.36117e+00   8.61131e+00   1.04583e+02
            56   8.66004e+01   5.60000e+01  -6.36938e+00   8.61122e+00   1.04667e+02
            57   8.68219e+01   5.70000e+01  -6.37332e+00   8.61114e+00   1.04750e+02
            58   8.70432e+01   5.80000e+01  -6.37609e+00   8.61108e+00   1.04833e+02
            59   8.72617e+01   5.90000e+01  -6.37822e+00   8.61103e+00   1.04917e+02
            60   8.74943e+01   6.00000e+01  -6.38069e+00   8.61104e+00   1.05000e+02
            61   8.77058e+01   6.10000e+01  -6.38380e+00   8.61103e+00   1.05083e+02
            62   8.79145e+01   6.20000e+01  -6.38790e+00   8.61102e+00   1.05167e+02
            63   8.81421e+01   6.30000e+01  -6.39297e+00   8.61100e+00   1.05250e+02
            64   8.83475e+01   6.40000e+01  -6.39846e+00   8.61101e+00   1.05333e+02
            65   8.85563e+01   6.50000e+01  -6.40409e+00   8.61100e+00   1.05417e+02
            66   8.87693e+01   6.60000e+01  -6.40911e+00   8.61100e+00   1.05500e+02
            67   8.89791e+01   6.70000e+01  -6.41402e+00   8.61100e+00   1.05583e+02
            68   8.91875e+01   6.80000e+01  -6.42156e+00   8.61100e+00   1.05667e+02
            69   8.93941e+01   6.90000e+01  -6.42821e+00   8.61100e+00   1.05750e+02
            70   8.96078e+01   7.00000e+01  -6.43495e+00   8.61097e+00   1.05833e+02
            71   8.98019e+01   7.10000e+01  -6.44138e+00   8.61089e+00   1.05917e+02
            72   9.00060e+01   7.20000e+01  -6.45117e+00   8.61077e+00   1.06000e+02
            73   9.02197e+01   7.30000e+01  -6.45980e+00   8.61065e+00   1.06083e+02
            74   9.04172e+01   7.40000e+01  -6.46747e+00   8.61054e+00   1.06167e+02
            75   9.06160e+01   7.50000e+01  -6.47402e+00   8.61043e+00   1.06250e+02
            76   9.08159e+01   7.60000e+01  -6.48499e+00   8.61029e+00   1.06333e+02
            77   9.10073e+01   7.70000e+01  -6.49509e+00   8.61019e+00   1.06417e+02
            78   9.12121e+01   7.80000e+01  -6.50498e+00   8.61011e+00   1.06500e+02
            79   9.14003e+01   7.90000e+01  -6.51465e+00   8.61005e+00   1.06583e+02
            80   9.15917e+01   8.00000e+01  -6.52482e+00   8.61006e+00   1.06667e+02
            81   9.17828e+01   8.10000e+01  -6.53501e+00   8.61004e+00   1.06750e+02
            82   9.19793e+01   8.20000e+01  -6.54461e+00   8.61002e+00   1.06833e+02
            83   9.21802e+01   8.30000e+01  -6.55322e+00   8.61001e+00   1.06917e+02
            84   9.23732e+01   8.40000e+01  -6.56328e+00   8.61001e+00   1.07000e+02
            85   9.25519e+01   8.50000e+01  -6.57208e+00   8.61001e+00   1.07083e+02
            86   9.27464e+01   8.60000e+01  -6.58150e+00   8.61000e+00   1.07167e+02
            87   9.29201e+01   8.70000e+01  -6.59300e+00   8.61000e+00   1.07250e+02
            88   9.31208e+01   8.80000e+01  -6.60293e+00   8.61000e+00   1.07333e+02
            89   9.33145e+01   8.90000e+01  -6.61424e+00   8.61000e+00   1.07417e+02
            90   9.34851e+01   9.00000e+01  -6.62569e+00   8.61000e+00   1.07500e+02
            91   9.36739e+01   9.10000e+01  -6.63680e+00   8.61000e+00   1.07583e+02
            92   9.38663e+01   9.20000e+01  -6.64766e+00   8.61000e+00   1.07667e+02
            93   9.40476e+01   9.30000e+01  -6.65871e+00   8.61000e+00   1.07750e+02
            94   9.42391e+01   9.40000e+01  -6.67019e+00   8.61000e+00   1.07833e+02
            95   9.44152e+01   9.50000e+01  -6.68168e+00   8.61000e+00   1.07917e+02
            96   9.45871e+01   9.60000e+01  -6.69862e+00   8.61000e+00   1.08000e+02
            97   9.47681e+01   9.70000e+01  -6.71222e+00   8.61000e+00   1.08083e+02
            98   9.49476e+01   9.80000e+01  -6.72492e+00   8.61000e+00   1.08167e+02
            99   9.51285e+01   9.90000e+01  -6.73624e+00   8.61000e+00   1.08250e+02
           100   9.53017e+01   1.00000e+02  -6.74515e+00   8.61000e+00   1.08333e+02
           101   9.54814e+01   1.01000e+02  -6.75551e+00   8.61000e+00   1.08417e+02
           102   9.56509e+01   1.02000e+02  -6.76644e+00   8.61000e+00   1.08500e+02
           103   9.58272e+01   1.03000e+02  -6.77710e+00   8.61000e+00   1.08583e+02
           104   9.60054e+01   1.04000e+02  -6.79018e+00   8.61000e+00   1.08667e+02
           105   9.61721e+01   1.05000e+02  -6.80336e+00   8.61000e+00   1.08750e+02
           106   9.63518e+01   1.06000e+02  -6.81541e+00   8.61000e+00   1.08833e+02
           107   9.65198e+01   1.07000e+02  -6.82777e+00   8.61000e+00   1.08917e+02
           108   9.66814e+01   1.08000e+02  -6.83975e+00   8.61000e+00   1.09000e+02
           109   9.68477e+01   1.09000e+02  -6.85140e+00   8.61000e+00   1.09083e+02
           110   9.70201e+01   1.10000e+02  -6.86338e+00   8.61000e+00   1.09167e+02
           111   9.71878e+01   1.11000e+02  -6.87607e+00   8.61000e+00   1.09250e+02
           112   9.73561e+01   1.12000e+02  -6.88828e+00   8.61000e+00   1.09333e+02
           113   9.75189e+01   1.13000e+02  -6.89955e+00   8.61000e+00   1.09417e+02
           114   9.77021e+01   1.14000e+02  -6.91113e+00   8.61000e+00   1.09500e+02
           115   9.78725e+01   1.15000e+02  -6.92157e+00   8.61000e+00   1.09583e+02
           116   9.80347e+01   1.16000e+02  -6.93240e+00   8.61000e+00   1.09667e+02
           117   9.82053e+01   1.17000e+02  -6.94424e+00   8.61000e+00   1.09750e+02
           118   9.83603e+01   1.18000e+02  -6.95728e+00   8.61000e+00   1.09833e+02
           119   9.85161e+01   1.19000e+02  -6.96954e+00   8.61000e+00   1.09917e+02
           120   9.86890e+01   1.20000e+02  -6.97997e+00   8.60997e+00   1.10000e+02
           121   9.88596e+01   1.21000e+02  -6.98936e+00   8.60988e+00   1.10083e+02
           122   9.90231e+01   1.22000e+02  -6.99814e+00   8.60978e+00   1.10167e+02
           123   9.91930e+01   1.23000e+02  -7.00627e+00   8.60967e+00   1.10250e+02
           124   9.93372e+01   1.24000e+02  -7.01750e+00   8.60950e+00   1.10333e+02
           125   9.94913e+01   1.25000e+02  -7.02784e+00   8.60938e+00   1.10417e+02
           126   9.96626e+01   1.26000e+02  -7.03713e+00   8.60928e+00   1.10500e+02
           127   9.98121e+01   1.27000e+02  -7.04551e+00   8.60919e+00   1.10583e+02
           128   9.99712e+01   1.28000e+02  -7.05348e+00   8.60915e+00   1.10667e+02
           129   1.00128e+02   1.29000e+02  -7.06154e+00   8.60910e+00   1.10750e+02
           130   1.00280e+02   1.30000e+02  -7.07051e+00   8.60906e+00   1.10833e+02
           131   1.00445e+02   1.31000e+02  -7.08099e+00   8.60902e+00   1.10917e+02
           132   1.00591e+02   1.32000e+02  -7.08840e+00   8.60903e+00   1.11000e+02
           133   1.00753e+02   1.33000e+02  -7.09775e+00   8.60902e+00   1.11083e+02
           134   1.00915e+02   1.34000e+02  -7.10837e+00   8.60901e+00   1.11167e+02
           135   1.01064e+02   1.35000e+02  -7.11914e+00   8.60900e+00   1.11250e+02
           136   1.01216e+02   1.36000e+02  -7.12969e+00   8.60900e+00   1.11333e+02
           137   1.01372e+02   1.37000e+02  -7.13984e+00   8.60900e+00   1.11417e+02
           138   1.01519e+02   1.38000e+02  -7.15156e+00   8.60900e+00   1.11500e+02
           139   1.01664e+02   1.39000e+02  -7.16473e+00   8.60900e+00   1.11583e+02
           140   1.01817e+02   1.40000e+02  -7.17898e+00   8.60900e+00   1.11667e+02
           141   1.01972e+02   1.41000e+02  -7.19053e+00   8.60900e+00   1.11750e+02
           142   1.02119e+02   1.42000e+02  -7.20164e+00   8.60900e+00   1.11833e+02
           143   1.02272e+02   1.43000e+02  -7.21345e+00   8.60900e+00   1.11917e+02
           144   1.02407e+02   1.44000e+02  -7.22377e+00   8.60900e+00   1.12000e+02
           145   1.02569e+02   1.45000e+02  -7.23393e+00   8.60900e+00   1.12083e+02
           146   1.02722e+02   1.46000e+02  -7.24427e+00   8.60900e+00   1.12167e+02
           147   1.02863e+02   1.47000e+02  -7.25350e+00   8.60900e+00   1.12250e+02
           148   1.03014e+02   1.48000e+02  -7.26211e+00   8.60900e+00   1.12333e+02
           149   1.03154e+02   1.49000e+02  -7.27136e+00   8.60900e+00   1.12417e+02
           150   1.03306e+02   1.50000e+02  -7.28117e+00   8.60900e+00   1.12500e+02
           151   1.03446e+02   1.51000e+02  -7.29145e+00   8.60900e+00   1.12583e+02
           152   1.03588e+02   1.52000e+02  -7.29693e+00   8.60900e+00   1.12667e+02
           153   1.03742e+02   1.53000e+02  -7.30424e+00   8.60900e+00   1.12750e+02
           154   1.03874e+02   1.54000e+02  -7.31317e+00   8.60900e+00   1.12833e+02
           155   1.04032e+02   1.55000e+02  -7.32195e+00   8.60900e+00   1.12917e+02
           156   1.04166e+02   1.56000e+02  -7.32863e+00   8.60900e+00   1.13000e+02
           157   1.04309e+02   1.57000e+02  -7.33728e+00   8.60900e+00   1.13083e+02
           158   1.04442e+02   1.58000e+02  -7.34704e+00   8.60900e+00   1.13167e+02
           159   1.04589e+02   1.59000e+02  -7.35760e+00   8.60900e+00   1.13250e+02
           160   1.04721e+02   1.60000e+02  -7.36690e+00   8.60900e+00   1.13333e+02
           161   1.04876e+02   1.61000e+02  -7.37501e+00   8.60900e+00   1.13417e+02
           162   1.05008e+02   1.62000e+02  -7.38234e+00   8.60900e+00   1.13500e+02
