         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   6.60300e+01   0.00000e+00  -4.95789e+01   1.24757e+01   1.00000e+02
             1   6.62419e+01   1.00000e+00  -4.95596e+01   1.24618e+01   1.00083e+02
             2   6.64604e+01   2.00000e+00  -4.95377e+01   1.24450e+01   1.00167e+02
             3   6.67106e+01   3.00000e+00  -4.95127e+01   1.24276e+01   1.00250e+02
             4   6.69853e+01   4.00000e+00  -4.96667e+01   1.24093e+01   1.00333e+02
             5   6.72763e+01   5.00000e+00  -4.98251e+01   1.23917e+01   1.00417e+02
             6   6.75589e+01   6.00000e+00  -5.00287e+01   1.23740e+01   1.00500e+02
             7   6.78521e+01   7.00000e+00  -5.02670e+01   1.23563e+01   1.00583e+02
             8   6.81465e+01   8.00000e+00  -5.06149e+01   1.23384e+01   1.00667e+02
             9   6.84280e+01   9.00000e+00  -5.09514e+01   1.23204e+01   1.00750e+02
            10   6.87237e+01   1.00000e+01  -5.13092e+01   1.23024e+01   1.00833e+02
            11   6.90336e+01   1.10000e+01  -5.16656e+01   1.22843e+01   1.00917e+02
            12   6.93194e+01   1.20000e+01  -5.20931e+01   1.22656e+01   1.01000e+02
            13   6.96129e+01   1.30000e+01  -5.24858e+01   1.22468e+01   1.01083e+02
            14   6.98954e+01   1.40000e+01  -5.28832e+01   1.22277e+01   1.01167e+02
            15   7.01754e+01   1.50000e+01  -5.32848e+01   1.22085e+01   1.01250e+02
            16   7.04603e+01   1.60000e+01  -5.36977e+01   1.21880e+01   1.01333e+02
            17   7.07643e+01   1.70000e+01  -5.40969e+01   1.21677e+01   1.01417e+02
            18   7.10429e+01   1.80000e+01  -5.44956e+01   1.21471e+01   1.01500e+02
            19   7.13244e+01   1.90000e+01  -5.48949e+01   1.21263e+01   1.01583e+02
            20   7.15901e+01   2.00000e+01  -5.53009e+01   1.21042e+01   1.01667e+02
            21   7.18672e+01   2.10000e+01  -5.57044e+01   1.20823e+01   1.01750e+02
            22   7.21382e+01   2.20000e+01  -5.61063e+01   1.20602e+01   1.01833e+02
            23   7.24155e+01   2.30000e+01  -5.65087e+01   1.20378e+01   1.01917e+02
