         Index            Ts             t            HF        Weight            Tr
           [#]          [°C]           [s]          [mW]          [mg]          [°C]
             0   8.49091e+01   0.00000e+00  -2.10767e+01   1.21912e+01   1.00000e+02
             1   8.50526e+01   1.00000e+00  -2.02490e+01   1.21914e+01   1.00083e+02
             2   8.51856e+01   2.00000e+00  -1.93441e+01   1.21916e+01   1.00167e+02
             3   8.53674e+01   3.00000e+00  -1.84278e+01   1.21919e+01   1.00250e+02
             4   8.55506e+01   4.00000e+00  -1.75724e+01   1.21926e+01   1.00333e+02
             5   8.57358e+01   5.00000e+00  -1.67868e+01   1.21933e+01   1.00417e+02
             6   8.59494e+01   6.00000e+00  -1.61007e+01   1.21941e+01   1.00500e+02
             7   8.61559e+01   7.00000e+00  -1.54859e+01   1.21950e+01   1.00583e+02
             8   8.63736e+01   8.00000e+00  -1.49494e+01   1.21965e+01   1.00667e+02
             9   8.65859e+01   9.00000e+00  -1.43961e+01   1.21978e+01   1.00750e+02
            10   8.67888e+01   1.00000e+01  -1.39051e+01   1.21991e+01   1.00833e+02
            11   8.70133e+01   1.10000e+01  -1.34615e+01   1.22004e+01   1.00917e+02
            12   8.72116e+01   1.20000e+01  -1.30630e+01   1.22020e+01   1.01000e+02
            13   8.74171e+01   1.30000e+01  -1.26682e+01   1.22033e+01   1.01083e+02
            14   8.76500e+01   1.40000e+01  -1.23013e+01   1.22046e+01   1.01167e+02
            15   8.78543e+01   1.50000e+01  -1.19619e+01   1.22058e+01   1.01250e+02
            16   8.80671e+01   1.60000e+01  -1.16537e+01   1.22067e+01   1.01333e+02
            17   8.82698e+01   1.70000e+01  -1.13401e+01   1.22076e+01   1.01417e+02
            18   8.84800e+01   1.80000e+01  -1.10376e+01   1.22085e+01   1.01500e+02
            19   8.86920e+01   1.90000e+01  -1.07455e+01   1.22092e+01   1.01583e+02
            20   8.89135e+01   2.00000e+01  -1.05120e+01   1.22095e+01   1.01667e+02
            21   8.91208e+01   2.10000e+01  -1.02585e+01   1.22099e+01   1.01750e+02
            22   8.93168e+01   2.20000e+01  -1.00094e+01   1.22103e+01   1.01833e+02
            23   8.95288e+01   2.30000e+01  -9.76847e+00   1.22106e+01   1.01917e+02
            24   8.97209e+01   2.40000e+01  -9.56855e+00   1.22106e+01   1.02000e+02
            25   8.99350e+01   2.50000e+01  -9.35596e+00   1.22107e+01   1.02083e+02
            26   9.01294e+01   2.60000e+01  -9.14568e+00   1.22109e+01   1.02167e+02
            27   9.03207e+01   2.70000e+01  -8.96006e+00   1.22110e+01   1.02250e+02
            28   9.05181e+01   2.80000e+01  -8.81895e+00   1.22109e+01   1.02333e+02
            29   9.07097e+01   2.90000e+01  -8.65581e+00   1.22108e+01   1.02417e+02
            30   9.09010e+01   3.00000e+01  -8.49390e+00   1.22108e+01   1.02500e+02
            31   9.10839e+01   3.10000e+01  -8.33496e+00   1.22107e+01   1.02583e+02
            32   9.12642e+01   3.20000e+01  -8.22064e+00   1.22105e+01   1.02667e+02
            33   9.14714e+01   3.30000e+01  -8.08209e+00   1.22104e+01   1.02750e+02
